SEF	1.0.0
ID	HalifaxRECanada
Name	HalifaxRE
Lat	44.65
Lon	296.39
Alt	51.5
Source	ODR
Link	https://opendatarescue.org
Vbl	Tx
Stat	point
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1852	08	01	00	00	24	19.44	|	orig=67.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	02	00	00	24	21.56	|	orig=70.8 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	03	00	00	24	22.28	|	orig=72.1 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	04	00	00	24	24.44	|	orig=76.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	05	00	00	24	19.72	|	orig=67.5 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	06	00	00	24	19.22	|	orig=66.6 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	07	00	00	24	19.72	|	orig=67.5 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	08	00	00	24	24.44	|	orig=76.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	09	00	00	24	22.11	|	orig=71.8 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	10	00	00	24	21.94	|	orig=71.5 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	11	00	00	24	20.00	|	orig=68.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	12	00	00	24	23.33	|	orig=74.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	13	00	00	24	-999	|	orig=- F|Local time: daily|QC flag: missing|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	14	00	00	24	27.78	|	orig=82.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	15	00	00	24	25.00	|	orig=77.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	16	00	00	24	19.72	|	orig=67.5 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	17	00	00	24	25.00	|	orig=77.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	18	00	00	24	22.28	|	orig=72.1 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	19	00	00	24	24.17	|	orig=75.5 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	20	00	00	24	22.22	|	orig=72.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	21	00	00	24	21.67	|	orig=71.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	22	00	00	24	22.78	|	orig=73.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	23	00	00	24	22.78	|	orig=73.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	24	00	00	24	21.67	|	orig=71.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	25	00	00	24	22.78	|	orig=73.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	26	00	00	24	21.67	|	orig=71.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	27	00	00	24	20.00	|	orig=68.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	28	00	00	24	22.61	|	orig=72.7 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	29	00	00	24	25.56	|	orig=78.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	30	00	00	24	19.06	|	orig=66.3 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	08	31	00	00	24	21.39	|	orig=70.5 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-08-01_OBS-F.png
1852	09	01	00	00	24	21.94	|	orig=71.5 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	02	00	00	24	26.94	|	orig=80.5 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	03	00	00	24	25.56	|	orig=78.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	04	00	00	24	25.56	|	orig=78.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	05	00	00	24	18.33	|	orig=65.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	06	00	00	24	20.00	|	orig=68.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	07	00	00	24	23.06	|	orig=73.5 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	08	00	00	24	23.33	|	orig=74.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	09	00	00	24	20.56	|	orig=69.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	10	00	00	24	21.67	|	orig=71.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	11	00	00	24	19.44	|	orig=67.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	12	00	00	24	20.00	|	orig=68.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	13	00	00	24	20.83	|	orig=69.5 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	14	00	00	24	17.78	|	orig=64.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	15	00	00	24	18.89	|	orig=66.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	16	00	00	24	15.28	|	orig=59.5 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	17	00	00	24	17.22	|	orig=63.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	18	00	00	24	20.00	|	orig=68.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	19	00	00	24	19.44	|	orig=67.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	20	00	00	24	21.56	|	orig=70.8 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	21	00	00	24	18.67	|	orig=65.6 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	22	00	00	24	17.22	|	orig=63.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	23	00	00	24	14.17	|	orig=57.5 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	24	00	00	24	15.56	|	orig=60.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	25	00	00	24	16.39	|	orig=61.5 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	26	00	00	24	15.56	|	orig=60.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	27	00	00	24	17.78	|	orig=64.0 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
1852	09	28	00	00	24	15.94	|	orig=60.7 F|Local time: daily|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-09-01_OBS-F.png
