SEF	1.0.0
ID	HalifaxRECanada
Name	HalifaxRE
Lat	44.65
Lon	296.39
Alt	51.5
Source	ODR
Link	https://opendatarescue.org
Vbl	tdb
Stat	point
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1852	10	01	09	00	0	8.89	|	orig=48.0 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	01	15	00	0	11.00	|	orig=51.8 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	02	09	00	0	8.44	|	orig=47.2 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	02	15	00	0	12.78	|	orig=55.0 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	03	09	00	0	10.22	|	orig=50.4 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	03	15	00	0	12.33	|	orig=54.2 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	04	09	00	0	11.72	|	orig=53.1 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	04	15	00	0	12.06	|	orig=53.7 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	05	09	00	0	13.44	|	orig=56.2 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	05	15	00	0	14.67	|	orig=58.4 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	06	09	00	0	10.06	|	orig=50.1 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	06	15	00	0	13.28	|	orig=55.9 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	07	09	00	0	11.89	|	orig=53.4 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	07	15	00	0	13.28	|	orig=55.9 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	08	09	00	0	10.67	|	orig=51.2 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	08	15	00	0	12.44	|	orig=54.4 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	09	09	00	0	10.39	|	orig=50.7 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	09	15	00	0	11.67	|	orig=53.0 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	10	09	00	0	9.44	|	orig=49.0 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	10	15	00	0	10.28	|	orig=50.5 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	11	09	00	0	15.00	|	orig=59.0 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	11	15	00	0	15.00	|	orig=59.0 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	12	09	00	0	11.33	|	orig=52.4 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	12	15	00	0	15.00	|	orig=59.0 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	13	09	00	0	14.11	|	orig=57.4 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	13	15	00	0	13.39	|	orig=56.1 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	14	09	00	0	7.11	|	orig=44.8 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	14	15	00	0	6.78	|	orig=44.2 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	15	09	00	0	8.89	|	orig=48.0 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	15	15	00	0	14.11	|	orig=57.4 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	16	09	00	0	7.44	|	orig=45.4 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	16	15	00	0	7.44	|	orig=45.4 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	17	09	00	0	3.56	|	orig=38.4 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	17	15	00	0	4.17	|	orig=39.5 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	18	09	00	0	4.11	|	orig=39.4 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	18	15	00	0	7.50	|	orig=45.5 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	19	09	00	0	14.44	|	orig=58.0 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	19	15	00	0	12.89	|	orig=55.2 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	20	09	00	0	6.67	|	orig=44.0 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	20	15	00	0	11.22	|	orig=52.2 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	21	09	00	0	9.33	|	orig=48.8 F|Local time: 0900|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
1852	10	21	15	00	0	11.44	|	orig=52.6 F|Local time: 1500|QC flag: None|Image File: Halifax_RE-103_UKMO_1852-10-01_OBS-F.png
