SEF	1.0.0
ID	HalifaxRECanada
Name	HalifaxRE
Lat	44.65
Lon	296.39
Alt	51.5
Source	ODR
Link	https://opendatarescue.org
Vbl	e
Stat	point
Unit	hPa
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1855	06	01	09	00	0	13.95	|	orig=0.412 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	01	14	00	0	13.17	|	orig=0.389 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	02	09	00	0	14.39	|	orig=0.425 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	02	14	00	0	14.39	|	orig=0.425 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	03	09	00	0	13.07	|	orig=0.386 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	03	14	00	0	-999	|	orig=- inHg|Local time: 1400|QC flag: missing|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	04	09	00	0	10.57	|	orig=0.312 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	04	14	00	0	9.85	|	orig=0.291 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	05	09	00	0	9.21	|	orig=0.272 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	05	14	00	0	12.22	|	orig=0.361 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	06	09	00	0	11.04	|	orig=0.326 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	06	14	00	0	12.60	|	orig=0.372 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	07	09	00	0	11.82	|	orig=0.349 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	07	14	00	0	11.82	|	orig=0.349 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	08	09	00	0	11.41	|	orig=0.337 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	08	14	00	0	12.63	|	orig=0.373 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	09	09	00	0	9.58	|	orig=0.283 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	09	14	00	0	10.94	|	orig=0.323 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	10	09	00	0	12.29	|	orig=0.363 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	10	14	00	0	13.48	|	orig=0.398 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	11	09	00	0	10.23	|	orig=0.302 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	11	14	00	0	12.60	|	orig=0.372 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	12	09	00	0	13.07	|	orig=0.386 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	12	14	00	0	17.47	|	orig=0.516 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	13	09	00	0	13.07	|	orig=0.386 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	13	14	00	0	14.43	|	orig=0.426 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	14	09	00	0	12.63	|	orig=0.373 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	14	14	00	0	12.63	|	orig=0.373 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	15	09	00	0	12.22	|	orig=0.361 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	15	14	00	0	12.63	|	orig=0.373 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	16	09	00	0	14.63	|	orig=0.432 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	16	14	00	0	13.78	|	orig=0.407 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	17	09	00	0	15.14	|	orig=0.447 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	17	14	00	0	11.38	|	orig=0.336 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	18	09	00	0	11.38	|	orig=0.336 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	18	14	00	0	12.22	|	orig=0.361 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	19	09	00	0	14.63	|	orig=0.432 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	19	14	00	0	16.36	|	orig=0.483 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	20	09	00	0	14.80	|	orig=0.437 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	20	14	00	0	11.82	|	orig=0.349 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	21	09	00	0	10.57	|	orig=0.312 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	21	14	00	0	14.80	|	orig=0.437 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	22	09	00	0	18.08	|	orig=0.534 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	22	14	00	0	16.90	|	orig=0.499 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	23	09	00	0	15.98	|	orig=0.472 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	23	14	00	0	24.21	|	orig=0.715 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	24	09	00	0	17.47	|	orig=0.516 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	24	14	00	0	20.76	|	orig=0.613 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	25	09	00	0	13.34	|	orig=0.394 inHg|Local time: 0900|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
1855	06	25	14	00	0	14.43	|	orig=0.426 inHg|Local time: 1400|QC flag: none|Image File: Halifax_RE-102_UKMO_1855-06-01_OBS-F.png
