SEF	1.0.0
ID	HarbourGraceCanada
Name	HarbourGrace
Lat	47.68
Lon	306.78
Alt	18.3
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	mean
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1871	11	01	00	00	24	6.67	|	orig=44 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	02	00	00	24	7.22	|	orig=45 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	03	00	00	24	2.22	|	orig=36 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	04	00	00	24	4.44	|	orig=40 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	05	00	00	24	4.44	|	orig=40 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	06	00	00	24	5.56	|	orig=42 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	07	00	00	24	5.56	|	orig=42 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	08	00	00	24	6.67	|	orig=44 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	09	00	00	24	4.44	|	orig=40 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	10	00	00	24	1.67	|	orig=35 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	11	00	00	24	3.33	|	orig=38 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	12	00	00	24	4.44	|	orig=40 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	13	00	00	24	5.00	|	orig=41 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	14	00	00	24	4.44	|	orig=40 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	15	00	00	24	3.89	|	orig=39 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	16	00	00	24	4.44	|	orig=40 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	17	00	00	24	6.11	|	orig=43 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	18	00	00	24	4.44	|	orig=40 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	19	00	00	24	2.22	|	orig=36 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	20	00	00	24	2.22	|	orig=36 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	21	00	00	24	4.44	|	orig=40 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	22	00	00	24	8.89	|	orig=48 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	23	00	00	24	8.89	|	orig=48 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
1871	11	24	00	00	24	-1.67	|	orig=29 F|Local time: mean|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1871-11-01_OBS-L.jpg
