SEF	1.0.0
ID	HarbourGraceCanada
Name	HarbourGrace
Lat	47.68
Lon	306.78
Alt	18.3
Source	ODR
Link	https://opendatarescue.org
Vbl	hd
Stat	point
Unit	deg
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	07	17	21	00	0	45	|	orig=North-East dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	19	21	00	0	-999	|	orig=Haze dir|Local time: 2100|QC flag: missing|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	20	21	00	0	-999	|	orig=Hidden dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	23	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	24	21	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	26	21	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	30	21	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	07	31	21	00	0	225	|	orig=South-West dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-07-01_OBS-L.jpg
1872	08	02	21	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	03	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	04	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	09	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	11	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	12	21	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	13	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	15	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	17	21	00	0	0	|	orig=North dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	18	21	00	0	-999	|	orig=Haze dir|Local time: 2100|QC flag: missing|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	20	21	00	0	45	|	orig=North-East dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	21	21	00	0	-999	|	orig=Haze dir|Local time: 2100|QC flag: missing|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	22	21	00	0	-999	|	orig=Haze dir|Local time: 2100|QC flag: missing|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	23	21	00	0	247.5	|	orig=West-South-West dir|Local time: 2100|QC flag: None|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	24	21	00	0	-999	|	orig=Haze dir|Local time: 2100|QC flag: missing|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	25	21	00	0	-999	|	orig=Haze dir|Local time: 2100|QC flag: missing|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
1872	08	26	21	00	0	-999	|	orig=Haze dir|Local time: 2100|QC flag: missing|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-L.jpg
