SEF	1.0.0
ID	HarbourGraceCanada
Name	HarbourGrace
Lat	47.68
Lon	306.78
Alt	18.3
Source	ODR
Link	https://opendatarescue.org
Vbl	p
Stat	point
Unit	hPa
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	08	01	07	00	0	995.60	|	orig=29.40 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	01	14	00	0	994.92	|	orig=29.38 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	01	21	00	0	995.60	|	orig=29.40 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	02	07	00	0	996.28	|	orig=29.42 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	02	14	00	0	997.29	|	orig=29.45 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	02	21	00	0	998.98	|	orig=29.50 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	03	07	00	0	1006.77	|	orig=29.73 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	03	14	00	0	1010.16	|	orig=29.83 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	03	21	00	0	1014.22	|	orig=29.95 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	04	07	00	0	1009.14	|	orig=29.80 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	04	14	00	0	1013.88	|	orig=29.94 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	04	21	00	0	1015.92	|	orig=30.00 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	05	07	00	0	1018.96	|	orig=30.09 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	05	14	00	0	1018.96	|	orig=30.09 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	05	21	00	0	1015.24	|	orig=29.98 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	06	07	00	0	1014.22	|	orig=29.95 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	06	14	00	0	1014.22	|	orig=29.95 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	06	21	00	0	1014.56	|	orig=29.96 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	07	07	00	0	1017.61	|	orig=30.05 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	07	14	00	0	1017.95	|	orig=30.06 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	07	21	00	0	1018.29	|	orig=30.07 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	08	07	00	0	1017.95	|	orig=30.06 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	08	14	00	0	1016.93	|	orig=30.03 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	08	21	00	0	1016.59	|	orig=30.02 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	09	07	00	0	1008.81	|	orig=29.79 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	09	14	00	0	1009.82	|	orig=29.82 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	09	21	00	0	1010.84	|	orig=29.85 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	10	07	00	0	1010.16	|	orig=29.83 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	10	14	00	0	1006.77	|	orig=29.73 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	10	21	00	0	1006.77	|	orig=29.73 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	11	07	00	0	1009.14	|	orig=29.80 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	11	14	00	0	1006.10	|	orig=29.71 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	11	21	00	0	1006.43	|	orig=29.72 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	12	07	00	0	1011.51	|	orig=29.87 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	12	14	00	0	1011.18	|	orig=29.86 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	12	21	00	0	1011.18	|	orig=29.86 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	13	07	00	0	1010.84	|	orig=29.85 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	13	14	00	0	1011.51	|	orig=29.87 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	13	21	00	0	1011.85	|	orig=29.88 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	14	07	00	0	1008.47	|	orig=29.78 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	14	14	00	0	1009.82	|	orig=29.82 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	14	21	00	0	1011.51	|	orig=29.87 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	15	07	00	0	1021.00	|	orig=30.15 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	15	14	00	0	1021.67	|	orig=30.17 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	15	21	00	0	1021.67	|	orig=30.17 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	16	07	00	0	1014.22	|	orig=29.95 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	16	14	00	0	1010.16	|	orig=29.83 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	16	21	00	0	1009.82	|	orig=29.82 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	17	07	00	0	1017.61	|	orig=30.05 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	17	14	00	0	1017.61	|	orig=30.05 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	17	21	00	0	1017.95	|	orig=30.06 inHg|Local time: 2100|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	18	07	00	0	1012.53	|	orig=29.90 inHg|Local time: 0700|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
1872	08	18	14	00	0	1014.22	|	orig=29.95 inHg|Local time: 1400|QC flag: none|Image File: HarbourGrace_USSI-401_M1958_1872-08-01_OBS-R.jpg
