SEF	1.0.0
ID	KingstonCanada
Name	Kingston
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	Tng
Stat	point
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1853	09	01	00	00	0	25.00	|	orig=77 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	02	00	00	0	24.44	|	orig=76 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	03	00	00	0	26.67	|	orig=80 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	04	00	00	0	26.11	|	orig=79 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	05	00	00	0	27.22	|	orig=81 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	06	00	00	0	28.89	|	orig=84 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	07	00	00	0	16.11	|	orig=61 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	08	00	00	0	20.00	|	orig=68 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	09	00	00	0	21.11	|	orig=70 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	10	00	00	0	15.56	|	orig=60 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	11	00	00	0	13.89	|	orig=57 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	12	00	00	0	15.00	|	orig=59 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	13	00	00	0	20.00	|	orig=68 F|Local time: 0000|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
