SEF	1.0.0
ID	KingstonCanada
Name	Kingston
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	dd
Stat	point
Unit	deg
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1853	09	01	09	00	0	135	|	orig=South-East dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	02	09	00	0	225	|	orig=South-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	03	09	00	0	225	|	orig=South-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	04	09	00	0	225	|	orig=South-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	05	09	00	0	157.5	|	orig=South-South-East dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	06	09	00	0	202.5	|	orig=South-South-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	07	09	00	0	337.5	|	orig=North-North-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	08	09	00	0	337.5	|	orig=North-North-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	09	09	00	0	180	|	orig=South dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	10	09	00	0	315	|	orig=North-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	11	09	00	0	315	|	orig=North-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	12	09	00	0	202.5	|	orig=South-South-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	13	09	00	0	270	|	orig=West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	14	09	00	0	157.5	|	orig=South-South-East dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	15	09	00	0	0	|	orig=North dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	16	09	00	0	202.5	|	orig=South-South-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	17	09	00	0	180	|	orig=South dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	18	09	00	0	202.5	|	orig=South-South-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	19	09	00	0	180	|	orig=South dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	20	09	00	0	202.5	|	orig=South-South-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	21	09	00	0	90	|	orig=East dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	22	09	00	0	337.5	|	orig=North-North-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	23	09	00	0	225	|	orig=South-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	24	09	00	0	270	|	orig=West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	25	09	00	0	315	|	orig=North-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	26	09	00	0	180	|	orig=South dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	27	09	00	0	45	|	orig=North-East dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	28	09	00	0	0	|	orig=North dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	29	09	00	0	0	|	orig=North dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	09	30	09	00	0	202.5	|	orig=South-South-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-09-01_OBS-F.jpg
1853	11	01	09	00	0	180	|	orig=South dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	01	15	00	0	225	|	orig=South-West dir|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	02	09	00	0	202.5	|	orig=South-South-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	02	15	00	0	225	|	orig=South-West dir|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	03	09	00	0	315	|	orig=North-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	03	15	00	0	315	|	orig=North-West dir|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	04	09	00	0	270	|	orig=West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	04	15	00	0	270	|	orig=West dir|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	05	09	00	0	315	|	orig=North-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	05	15	00	0	315	|	orig=North-West dir|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	06	09	00	0	0	|	orig=North dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	06	15	00	0	0	|	orig=North dir|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	07	09	00	0	337.5	|	orig=North-North-West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	07	15	00	0	315	|	orig=North-West dir|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	08	09	00	0	180	|	orig=South dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	08	15	00	0	180	|	orig=South dir|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	09	09	00	0	270	|	orig=West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	09	15	00	0	270	|	orig=West dir|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	10	09	00	0	270	|	orig=West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	10	15	00	0	270	|	orig=West dir|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	11	09	00	0	180	|	orig=South dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	11	15	00	0	180	|	orig=South dir|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	12	09	00	0	180	|	orig=South dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	12	15	00	0	180	|	orig=South dir|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	13	09	00	0	180	|	orig=South dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	13	15	00	0	180	|	orig=South dir|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	14	09	00	0	270	|	orig=West dir|Local time: 0900|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
1853	11	14	15	00	0	270	|	orig=West dir|Local time: 1500|QC flag: None|Image File: Kingston_RE-103_UKMO_1853-11-01_OBS-F.jpg
