SEF	1.0.0
ID	KingstonCanada
Name	Kingston
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	wf
Stat	point
Unit	mps
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1854	05	05	12	00	0	0	|	orig=Empty lbsft|Local time: 1200|QC flag: no entry: calm|Image File: Kingston_RE-103_UKMO_1854-05-01_OBS-F.jpg
1854	05	06	12	00	0	-999	|	orig=- lbsft|Local time: 1200|QC flag: missing|Image File: Kingston_RE-103_UKMO_1854-05-01_OBS-F.jpg
1854	05	07	12	00	0	0	|	orig=Empty lbsft|Local time: 1200|QC flag: no entry: calm|Image File: Kingston_RE-103_UKMO_1854-05-01_OBS-F.jpg
1854	05	08	12	00	0	-999	|	orig=- lbsft|Local time: 1200|QC flag: missing|Image File: Kingston_RE-103_UKMO_1854-05-01_OBS-F.jpg
1854	05	09	12	00	0	-999	|	orig=- lbsft|Local time: 1200|QC flag: missing|Image File: Kingston_RE-103_UKMO_1854-05-01_OBS-F.jpg
1854	05	10	12	00	0	-999	|	orig=- lbsft|Local time: 1200|QC flag: missing|Image File: Kingston_RE-103_UKMO_1854-05-01_OBS-F.jpg
1854	05	11	12	00	0	-999	|	orig=- lbsft|Local time: 1200|QC flag: missing|Image File: Kingston_RE-103_UKMO_1854-05-01_OBS-F.jpg
1854	05	12	12	00	0	-999	|	orig=- lbsft|Local time: 1200|QC flag: missing|Image File: Kingston_RE-103_UKMO_1854-05-01_OBS-F.jpg
1854	05	13	12	00	0	-999	|	orig=- lbsft|Local time: 1200|QC flag: missing|Image File: Kingston_RE-103_UKMO_1854-05-01_OBS-F.jpg
1854	05	14	12	00	0	0	|	orig=Empty lbsft|Local time: 1200|QC flag: no entry: calm|Image File: Kingston_RE-103_UKMO_1854-05-01_OBS-F.jpg
1854	05	15	12	00	0	-999	|	orig=- lbsft|Local time: 1200|QC flag: missing|Image File: Kingston_RE-103_UKMO_1854-05-01_OBS-F.jpg
1854	05	16	12	00	0	-999	|	orig=- lbsft|Local time: 1200|QC flag: missing|Image File: Kingston_RE-103_UKMO_1854-05-01_OBS-F.jpg
1854	05	17	12	00	0	-999	|	orig=- lbsft|Local time: 1200|QC flag: missing|Image File: Kingston_RE-103_UKMO_1854-05-01_OBS-F.jpg
1854	05	18	12	00	0	-999	|	orig=- lbsft|Local time: 1200|QC flag: missing|Image File: Kingston_RE-103_UKMO_1854-05-01_OBS-F.jpg
