SEF	1.0.0
ID	KingstonCanada
Name	Kingston
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	rh
Stat	point
Unit	%
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1855	12	01	07	00	0	85.80	|	orig=0.858 p|Local time: 0700|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	01	14	00	0	86.40	|	orig=0.864 p|Local time: 1400|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	02	07	00	0	-999	|	orig=- p|Local time: 0700|QC flag: missing|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	02	14	00	0	-999	|	orig=- p|Local time: 1400|QC flag: missing|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	03	07	00	0	82.80	|	orig=0.828 p|Local time: 0700|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	03	14	00	0	76.40	|	orig=0.764 p|Local time: 1400|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	04	07	00	0	83.90	|	orig=0.839 p|Local time: 0700|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	04	14	00	0	100.00	|	orig=1.000 p|Local time: 1400|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	05	07	00	0	84.00	|	orig=0.840 p|Local time: 0700|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	05	14	00	0	79.70	|	orig=0.797 p|Local time: 1400|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	06	07	00	0	85.90	|	orig=0.859 p|Local time: 0700|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	06	14	00	0	91.40	|	orig=0.914 p|Local time: 1400|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	07	07	00	0	91.60	|	orig=0.916 p|Local time: 0700|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	07	14	00	0	91.30	|	orig=0.913 p|Local time: 1400|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	08	07	00	0	72.80	|	orig=0.728 p|Local time: 0700|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	08	14	00	0	83.60	|	orig=0.836 p|Local time: 1400|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	09	07	00	0	-999	|	orig=- p|Local time: 0700|QC flag: missing|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	09	14	00	0	-999	|	orig=- p|Local time: 1400|QC flag: missing|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	10	07	00	0	85.70	|	orig=0.857 p|Local time: 0700|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	10	14	00	0	82.00	|	orig=0.820 p|Local time: 1400|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	11	07	00	0	100.00	|	orig=1.000 p|Local time: 0700|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	11	14	00	0	73.00	|	orig=0.730 p|Local time: 1400|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	12	07	00	0	85.70	|	orig=0.857 p|Local time: 0700|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	12	14	00	0	73.60	|	orig=0.736 p|Local time: 1400|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	13	07	00	0	85.40	|	orig=0.854 p|Local time: 0700|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	13	14	00	0	90.00	|	orig=0.900 p|Local time: 1400|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	14	07	00	0	56.00	|	orig=0.560 p|Local time: 0700|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	14	14	00	0	85.60	|	orig=0.856 p|Local time: 1400|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	15	07	00	0	86.30	|	orig=0.863 p|Local time: 0700|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	15	14	00	0	89.20	|	orig=0.892 p|Local time: 1400|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	16	07	00	0	-999	|	orig=- p|Local time: 0700|QC flag: missing|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	16	14	00	0	-999	|	orig=- p|Local time: 1400|QC flag: missing|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	17	07	00	0	87.10	|	orig=0.871 p|Local time: 0700|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	17	14	00	0	95.70	|	orig=0.957 p|Local time: 1400|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	18	07	00	0	93.90	|	orig=0.939 p|Local time: 0700|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	18	14	00	0	79.10	|	orig=0.791 p|Local time: 1400|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	19	07	00	0	72.80	|	orig=0.728 p|Local time: 0700|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
1855	12	19	14	00	0	76.20	|	orig=0.762 p|Local time: 1400|QC flag: multiply by 100|Image File: Kingston_RE-102_UKMO_1855-12-01_OBS-F.jpg
