SEF	1.0.0
ID	LittleWhaleRiverCanada
Name	LittleWhaleRiver
Lat	56.03
Lon	283.25
Alt	3.6
Source	ODR
Link	https://opendatarescue.org
Vbl	ww
Stat	point
Unit	manual observation
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1861	11	01	00	00	24	SQ	|	orig=Cloudy. Strong breeze. Squally. mno|Local time: daily|QC flag: None|Image File: LittleWhaleRiver_USSI-207_M1958_1861-11-01_OBS-F.jpg
1861	11	02	00	00	24	BKN	|	orig=Cloudy; light breeze mno|Local time: daily|QC flag: None|Image File: LittleWhaleRiver_USSI-207_M1958_1861-11-01_OBS-F.jpg
1861	11	03	00	00	24	BKN	|	orig=Cloudy; light breeze mno|Local time: daily|QC flag: None|Image File: LittleWhaleRiver_USSI-207_M1958_1861-11-01_OBS-F.jpg
1861	11	04	00	00	24	BKN	|	orig=Cloudy; light breeze mno|Local time: daily|QC flag: None|Image File: LittleWhaleRiver_USSI-207_M1958_1861-11-01_OBS-F.jpg
1861	11	05	00	00	24	BKN	|	orig=Cloudy; light breeze mno|Local time: daily|QC flag: None|Image File: LittleWhaleRiver_USSI-207_M1958_1861-11-01_OBS-F.jpg
1861	11	06	00	00	24	BKN	|	orig=Cloudy; light breeze mno|Local time: daily|QC flag: None|Image File: LittleWhaleRiver_USSI-207_M1958_1861-11-01_OBS-F.jpg
1861	11	07	00	00	24	BKN	|	orig=Cloudy; light breeze mno|Local time: daily|QC flag: None|Image File: LittleWhaleRiver_USSI-207_M1958_1861-11-01_OBS-F.jpg
1861	11	08	00	00	24	BKN	|	orig=Cloudy; light breeze mno|Local time: daily|QC flag: None|Image File: LittleWhaleRiver_USSI-207_M1958_1861-11-01_OBS-F.jpg
1861	11	09	00	00	24	BKN	|	orig=Cloudy; light breeze mno|Local time: daily|QC flag: None|Image File: LittleWhaleRiver_USSI-207_M1958_1861-11-01_OBS-F.jpg
1861	11	10	00	00	24	BKN	|	orig=Cloudy; light breeze mno|Local time: daily|QC flag: None|Image File: LittleWhaleRiver_USSI-207_M1958_1861-11-01_OBS-F.jpg
