SEF	1.0.0
ID	MontrealCanada
Name	Montreal
Lat	45.5
Lon	286.4
Alt	17.4
Source	ODR
Link	https://opendatarescue.org
Vbl	rh
Stat	point
Unit	%
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1855	09	01	07	00	0	70.20	|	orig=0.702 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	01	14	00	0	66.00	|	orig=0.660 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	01	21	00	0	75.80	|	orig=0.758 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	02	07	00	0	65.20	|	orig=0.652 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	02	14	00	0	40.00	|	orig=0.400 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	02	21	00	0	47.90	|	orig=0.479 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	03	07	00	0	59.20	|	orig=0.592 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	03	14	00	0	46.70	|	orig=0.467 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	03	21	00	0	58.00	|	orig=0.580 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	04	07	00	0	88.00	|	orig=0.880 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	04	14	00	0	53.00	|	orig=0.530 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	04	21	00	0	68.40	|	orig=0.684 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	05	07	00	0	88.00	|	orig=0.880 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	05	14	00	0	53.90	|	orig=0.539 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	05	21	00	0	78.60	|	orig=0.786 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	06	07	00	0	78.40	|	orig=0.784 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	06	14	00	0	58.60	|	orig=0.586 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	06	21	00	0	72.40	|	orig=0.724 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	07	07	00	0	83.10	|	orig=0.831 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	07	14	00	0	32.10	|	orig=0.321 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	07	21	00	0	40.50	|	orig=0.405 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	08	07	00	0	95.10	|	orig=0.951 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	08	14	00	0	81.00	|	orig=0.810 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	08	21	00	0	91.00	|	orig=0.910 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	09	07	00	0	83.80	|	orig=0.838 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	09	14	00	0	55.30	|	orig=0.553 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	09	21	00	0	58.80	|	orig=0.588 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	10	07	00	0	58.40	|	orig=0.584 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	10	14	00	0	53.80	|	orig=0.538 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	10	21	00	0	55.10	|	orig=0.551 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	11	07	00	0	63.40	|	orig=0.634 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	11	14	00	0	66.60	|	orig=0.666 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	11	21	00	0	79.20	|	orig=0.792 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	12	07	00	0	86.50	|	orig=0.865 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	12	14	00	0	71.20	|	orig=0.712 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	12	21	00	0	73.80	|	orig=0.738 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	13	07	00	0	67.50	|	orig=0.675 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	13	14	00	0	49.40	|	orig=0.494 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	13	21	00	0	58.00	|	orig=0.580 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	14	07	00	0	56.40	|	orig=0.564 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	14	14	00	0	53.90	|	orig=0.539 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	14	21	00	0	70.70	|	orig=0.707 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	15	07	00	0	81.10	|	orig=0.811 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	15	14	00	0	69.90	|	orig=0.699 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	15	21	00	0	80.50	|	orig=0.805 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	16	07	00	0	84.90	|	orig=0.849 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	16	14	00	0	78.90	|	orig=0.789 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	16	21	00	0	93.10	|	orig=0.931 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	17	07	00	0	74.30	|	orig=0.743 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	17	14	00	0	78.60	|	orig=0.786 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	17	21	00	0	73.80	|	orig=0.738 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	18	07	00	0	93.10	|	orig=0.931 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	18	14	00	0	59.20	|	orig=0.592 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	18	21	00	0	49.10	|	orig=0.491 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	19	07	00	0	41.10	|	orig=0.411 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	19	14	00	0	44.60	|	orig=0.446 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	19	21	00	0	72.30	|	orig=0.723 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	20	07	00	0	66.20	|	orig=0.662 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	20	14	00	0	55.00	|	orig=0.550 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	20	21	00	0	72.80	|	orig=0.728 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	21	07	00	0	86.80	|	orig=0.868 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	21	14	00	0	69.00	|	orig=0.690 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	21	21	00	0	87.40	|	orig=0.874 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	22	07	00	0	86.40	|	orig=0.864 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	22	14	00	0	69.20	|	orig=0.692 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	22	21	00	0	81.50	|	orig=0.815 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	23	07	00	0	83.50	|	orig=0.835 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	23	14	00	0	68.40	|	orig=0.684 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	23	21	00	0	76.40	|	orig=0.764 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	24	07	00	0	92.20	|	orig=0.922 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	24	14	00	0	62.20	|	orig=0.622 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	24	21	00	0	88.60	|	orig=0.886 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	25	07	00	0	88.30	|	orig=0.883 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	25	14	00	0	77.20	|	orig=0.772 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	25	21	00	0	82.00	|	orig=0.820 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	26	07	00	0	89.60	|	orig=0.896 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	26	14	00	0	96.50	|	orig=0.965 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	26	21	00	0	95.10	|	orig=0.951 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	27	07	00	0	82.00	|	orig=0.820 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	27	14	00	0	88.90	|	orig=0.889 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	27	21	00	0	60.50	|	orig=0.605 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	28	07	00	0	64.80	|	orig=0.648 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	28	14	00	0	56.70	|	orig=0.567 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	28	21	00	0	77.80	|	orig=0.778 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	29	07	00	0	84.20	|	orig=0.842 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	29	14	00	0	59.40	|	orig=0.594 p|Local time: 1400|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	29	21	00	0	74.80	|	orig=0.748 p|Local time: 2100|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	30	07	00	0	76.40	|	orig=0.764 p|Local time: 0700|QC flag: multiply by 100|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
