SEF	1.0.0
ID	MontrealCanada
Name	Montreal
Lat	45.5
Lon	286.4
Alt	17.4
Source	ODR
Link	https://opendatarescue.org
Vbl	tdb
Stat	point
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1855	09	01	07	00	0	15.56	|	orig=60 F|Local time: 0700|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	01	14	00	0	22.22	|	orig=72 F|Local time: 1400|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	01	21	00	0	22.78	|	orig=73 F|Local time: 2100|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	02	07	00	0	20.00	|	orig=68 F|Local time: 0700|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	02	14	00	0	19.44	|	orig=67 F|Local time: 1400|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	02	21	00	0	13.89	|	orig=57 F|Local time: 2100|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	03	07	00	0	10.56	|	orig=51 F|Local time: 0700|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	03	14	00	0	16.67	|	orig=62 F|Local time: 1400|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	03	21	00	0	14.44	|	orig=58 F|Local time: 2100|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	04	07	00	0	13.33	|	orig=56 F|Local time: 0700|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	04	14	00	0	20.00	|	orig=68 F|Local time: 1400|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	04	21	00	0	15.56	|	orig=60 F|Local time: 2100|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	05	07	00	0	13.33	|	orig=56 F|Local time: 0700|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	05	14	00	0	21.67	|	orig=71 F|Local time: 1400|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	05	21	00	0	15.56	|	orig=60 F|Local time: 2100|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	06	07	00	0	13.89	|	orig=57 F|Local time: 0700|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	06	14	00	0	23.89	|	orig=75 F|Local time: 1400|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	06	21	00	0	18.89	|	orig=66 F|Local time: 2100|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	07	07	00	0	14.44	|	orig=58 F|Local time: 0700|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	07	14	00	0	23.33	|	orig=74 F|Local time: 1400|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	07	21	00	0	21.11	|	orig=70 F|Local time: 2100|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	08	07	00	0	18.89	|	orig=66 F|Local time: 0700|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	08	14	00	0	23.89	|	orig=75 F|Local time: 1400|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	08	21	00	0	21.11	|	orig=70 F|Local time: 2100|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	09	07	00	0	23.33	|	orig=74 F|Local time: 0700|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	09	14	00	0	26.67	|	orig=80 F|Local time: 1400|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	09	21	00	0	21.11	|	orig=70 F|Local time: 2100|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	10	07	00	0	15.56	|	orig=60 F|Local time: 0700|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	10	14	00	0	22.78	|	orig=73 F|Local time: 1400|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	10	21	00	0	21.11	|	orig=70 F|Local time: 2100|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	11	07	00	0	18.89	|	orig=66 F|Local time: 0700|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	11	14	00	0	25.00	|	orig=77 F|Local time: 1400|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	11	21	00	0	22.22	|	orig=72 F|Local time: 2100|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	12	07	00	0	20.56	|	orig=69 F|Local time: 0700|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	12	14	00	0	29.44	|	orig=85 F|Local time: 1400|QC flag: None|Image File: Montreal_USSI-101_M1958_1855-09-01_OBS-F.jpg
