SEF	1.0.0
ID	MontrealCanada
Name	Montreal
Lat	45.5
Lon	286.4
Alt	17.4
Source	ODR
Link	https://opendatarescue.org
Vbl	p
Stat	mean
Unit	hPa
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1856	02	01	00	00	24	999.29	|	orig=29.509 inHg|Local time: mean|QC flag: none|Image File: Montreal_USSI-201_M1958_1856-02-01_OBS-L.jpg
1856	02	02	00	00	24	994.79	|	orig=29.376 inHg|Local time: mean|QC flag: none|Image File: Montreal_USSI-201_M1958_1856-02-01_OBS-L.jpg
1856	02	03	00	00	24	995.26	|	orig=29.390 inHg|Local time: mean|QC flag: none|Image File: Montreal_USSI-201_M1958_1856-02-01_OBS-L.jpg
1856	02	04	00	00	24	1007.38	|	orig=29.748 inHg|Local time: mean|QC flag: none|Image File: Montreal_USSI-201_M1958_1856-02-01_OBS-L.jpg
1856	02	05	00	00	24	1011.07	|	orig=29.857 inHg|Local time: mean|QC flag: none|Image File: Montreal_USSI-201_M1958_1856-02-01_OBS-L.jpg
1856	02	06	00	00	24	1022.52	|	orig=30.195 inHg|Local time: mean|QC flag: none|Image File: Montreal_USSI-201_M1958_1856-02-01_OBS-L.jpg
1856	02	07	00	00	24	1002.57	|	orig=29.606 inHg|Local time: mean|QC flag: none|Image File: Montreal_USSI-201_M1958_1856-02-01_OBS-L.jpg
1856	02	08	00	00	24	1008.30	|	orig=29.775 inHg|Local time: mean|QC flag: none|Image File: Montreal_USSI-201_M1958_1856-02-01_OBS-L.jpg
1856	02	09	00	00	24	1006.13	|	orig=29.711 inHg|Local time: mean|QC flag: none|Image File: Montreal_USSI-201_M1958_1856-02-01_OBS-L.jpg
1856	02	10	00	00	24	1009.75	|	orig=29.818 inHg|Local time: mean|QC flag: none|Image File: Montreal_USSI-201_M1958_1856-02-01_OBS-L.jpg
1856	02	11	00	00	24	1005.15	|	orig=29.682 inHg|Local time: mean|QC flag: none|Image File: Montreal_USSI-201_M1958_1856-02-01_OBS-L.jpg
1856	02	12	00	00	24	984.42	|	orig=29.070 inHg|Local time: mean|QC flag: none|Image File: Montreal_USSI-201_M1958_1856-02-01_OBS-L.jpg
