SEF	1.0.0
ID	MountForestCanada
Name	MountForest
Lat	44.01
Lon	279.11
Alt	137.16
Source	ODR
Link	https://opendatarescue.org
Vbl	e
Stat	point
Unit	hPa
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	05	01	07	00	0	19.37	|	orig=.572 inHg|Local time: 0700|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	01	14	00	0	21.16	|	orig=.625 inHg|Local time: 1400|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	01	21	00	0	17.54	|	orig=.518 inHg|Local time: 2100|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	02	07	00	0	14.97	|	orig=.442 inHg|Local time: 0700|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	02	14	00	0	16.59	|	orig=.490 inHg|Local time: 1400|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	02	21	00	0	18.25	|	orig=.539 inHg|Local time: 2100|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	03	07	00	0	8.64	|	orig=.255 inHg|Local time: 0700|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	03	14	00	0	9.55	|	orig=.282 inHg|Local time: 1400|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	03	21	00	0	14.05	|	orig=.415 inHg|Local time: 2100|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	04	07	00	0	9.31	|	orig=.275 inHg|Local time: 0700|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	04	14	00	0	14.73	|	orig=.435 inHg|Local time: 1400|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	04	21	00	0	17.03	|	orig=.503 inHg|Local time: 2100|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	05	07	00	0	11.95	|	orig=.353 inHg|Local time: 0700|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	05	14	00	0	14.97	|	orig=.442 inHg|Local time: 1400|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	05	21	00	0	17.91	|	orig=.529 inHg|Local time: 2100|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	06	07	00	0	16.90	|	orig=.499 inHg|Local time: 0700|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	06	14	00	0	22.93	|	orig=.677 inHg|Local time: 1400|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	06	21	00	0	23.54	|	orig=.695 inHg|Local time: 2100|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	07	07	00	0	18.42	|	orig=.544 inHg|Local time: 0700|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	07	14	00	0	22.69	|	orig=.670 inHg|Local time: 1400|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	07	21	00	0	23.20	|	orig=.685 inHg|Local time: 2100|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	08	07	00	0	17.81	|	orig=.526 inHg|Local time: 0700|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	08	14	00	0	18.42	|	orig=.544 inHg|Local time: 1400|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	08	21	00	0	20.01	|	orig=.591 inHg|Local time: 2100|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	09	07	00	0	19.17	|	orig=.566 inHg|Local time: 0700|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	09	14	00	0	21.44	|	orig=.633 inHg|Local time: 1400|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	09	21	00	0	18.96	|	orig=.560 inHg|Local time: 2100|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	10	07	00	0	16.97	|	orig=.501 inHg|Local time: 0700|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	10	14	00	0	16.97	|	orig=.501 inHg|Local time: 1400|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	10	21	00	0	15.85	|	orig=.468 inHg|Local time: 2100|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	11	07	00	0	17.00	|	orig=.502 inHg|Local time: 0700|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	11	14	00	0	19.37	|	orig=.572 inHg|Local time: 1400|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	11	21	00	0	20.86	|	orig=.616 inHg|Local time: 2100|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	12	07	00	0	10.84	|	orig=.320 inHg|Local time: 0700|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	12	14	00	0	9.55	|	orig=.282 inHg|Local time: 1400|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	12	21	00	0	14.76	|	orig=.436 inHg|Local time: 2100|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	13	07	00	0	12.63	|	orig=.373 inHg|Local time: 0700|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
