SEF	1.0.0
ID	MountForestCanada
Name	MountForest
Lat	44.01
Lon	279.11
Alt	137.16
Source	ODR
Link	https://opendatarescue.org
Vbl	hd
Stat	point
Unit	deg
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	05	02	21	00	0	292.5	|	orig=West-North-West dir|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	03	21	00	0	-999	|	orig=0 dir|Local time: 2100|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	04	21	00	0	-999	|	orig=0 dir|Local time: 2100|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	05	21	00	0	-999	|	orig=not perceptible dir|Local time: 2100|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	06	21	00	0	-999	|	orig=0 dir|Local time: 2100|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	07	21	00	0	292.5	|	orig=West-North-West dir|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	08	21	00	0	135	|	orig=South-East dir|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	09	21	00	0	292.5	|	orig=West-North-West dir|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	10	21	00	0	180	|	orig=South dir|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	11	21	00	0	247.5	|	orig=West-South-West dir|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	12	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	13	21	00	0	-999	|	orig=0 dir|Local time: 2100|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	14	21	00	0	-999	|	orig=not perceptible dir|Local time: 2100|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	15	21	00	0	-999	|	orig=not perceptible dir|Local time: 2100|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	16	21	00	0	-999	|	orig=0 dir|Local time: 2100|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	17	21	00	0	135	|	orig=South-East dir|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	18	21	00	0	135	|	orig=South-East dir|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	19	21	00	0	225	|	orig=South-West dir|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	20	21	00	0	-999	|	orig=0 dir|Local time: 2100|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	21	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
