SEF	1.0.0
ID	MountForestCanada
Name	MountForest
Lat	44.01
Lon	279.11
Alt	137.16
Source	ODR
Link	https://opendatarescue.org
Vbl	p
Stat	mean
Unit	hPa
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	05	01	00	00	24	1007.86	|	orig=29.7620 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	02	00	00	24	1004.39	|	orig=29.6596 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	03	00	00	24	1004.47	|	orig=29.6620 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	04	00	00	24	1005.99	|	orig=29.7070 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	05	00	00	24	1007.10	|	orig=29.7396 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	06	00	00	24	1006.61	|	orig=29.7253 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	07	00	00	24	1006.71	|	orig=29.7280 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	08	00	00	24	1005.95	|	orig=29.7056 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	09	00	00	24	1005.50	|	orig=29.6923 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	10	00	00	24	1005.08	|	orig=29.6800 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	11	00	00	24	1005.07	|	orig=29.6796 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	12	00	00	24	1004.48	|	orig=29.6623 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	13	00	00	24	1004.55	|	orig=29.6643 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	14	00	00	24	1004.97	|	orig=29.6766 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	15	00	00	24	1006.74	|	orig=29.7290 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	16	00	00	24	1008.26	|	orig=29.7740 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	17	00	00	24	1005.68	|	orig=29.6976 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	18	00	00	24	1004.84	|	orig=29.6730 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	19	00	00	24	1004.59	|	orig=29.6656 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	20	00	00	24	1003.52	|	orig=29.6340 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	21	00	00	24	1003.39	|	orig=29.6300 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	22	00	00	24	1003.88	|	orig=29.6446 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	23	00	00	24	1002.93	|	orig=29.6166 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	24	00	00	24	1003.52	|	orig=29.6340 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	25	00	00	24	1001.88	|	orig=29.5856 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	26	00	00	24	1003.25	|	orig=29.6260 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	27	00	00	24	1002.58	|	orig=29.6063 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	28	00	00	24	1001.49	|	orig=29.5740 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
1872	05	29	00	00	24	1002.93	|	orig=29.6166 inHg|Local time: mean|QC flag: none|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-R.jpg
