SEF	1.0.0
ID	MountForestCanada
Name	MountForest
Lat	44.01
Lon	279.11
Alt	137.16
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	mean
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	05	01	00	00	24	19.31	|	orig=66.750 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	02	00	00	24	16.55	|	orig=61.792 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	03	00	00	24	12.55	|	orig=54.583 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	04	00	00	24	14.08	|	orig=57.350 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	05	00	00	24	15.05	|	orig=59.083 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	06	00	00	24	20.49	|	orig=68.875 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	07	00	00	24	21.78	|	orig=71.208 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	08	00	00	24	19.54	|	orig=67.166 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	09	00	00	24	19.86	|	orig=67.750 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	10	00	00	24	16.94	|	orig=62.500 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	11	00	00	24	18.57	|	orig=65.417 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	12	00	00	24	15.86	|	orig=60.542 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	13	00	00	24	15.42	|	orig=59.750 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	14	00	00	24	14.63	|	orig=58.333 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	15	00	00	24	16.13	|	orig=61.042 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	16	00	00	24	15.38	|	orig=59.683 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	17	00	00	24	16.57	|	orig=61.833 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	18	00	00	24	17.04	|	orig=62.666 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	19	00	00	24	13.22	|	orig=55.800 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	20	00	00	24	12.56	|	orig=54.600 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	21	00	00	24	13.37	|	orig=56.066 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	22	00	00	24	14.78	|	orig=58.600 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	23	00	00	24	14.96	|	orig=58.933 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	24	00	00	24	14.83	|	orig=58.700 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	25	00	00	24	11.44	|	orig=52.600 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	26	00	00	24	17.78	|	orig=64.000 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	27	00	00	24	15.56	|	orig=60.000 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	28	00	00	24	8.67	|	orig=47.600 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	29	00	00	24	12.11	|	orig=53.806 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	30	00	00	24	13.33	|	orig=56.000 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	05	31	00	00	24	14.17	|	orig=57.500 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-05-01_OBS-L.jpg
1872	06	01	00	00	24	14.43	|	orig=57.966 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	02	00	00	24	17.04	|	orig=62.666 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	03	00	00	24	17.54	|	orig=63.566 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	04	00	00	24	13.98	|	orig=57.167 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	05	00	00	24	17.70	|	orig=63.866 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	06	00	00	24	21.13	|	orig=70.033 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	07	00	00	24	16.28	|	orig=61.300 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	08	00	00	24	16.50	|	orig=61.700 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	09	00	00	24	19.93	|	orig=67.866 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	10	00	00	24	18.26	|	orig=64.866 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	11	00	00	24	21.76	|	orig=71.166 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	12	00	00	24	20.56	|	orig=69.000 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	13	00	00	24	16.46	|	orig=61.634 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	14	00	00	24	15.61	|	orig=60.100 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	15	00	00	24	15.85	|	orig=60.533 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	16	00	00	24	18.32	|	orig=64.977 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	17	00	00	24	20.17	|	orig=68.3000 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	18	00	00	24	25.28	|	orig=77.50 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	19	00	00	24	27.17	|	orig=80.90 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	20	00	00	24	28.98	|	orig=84.166 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
1872	06	21	00	00	24	24.04	|	orig=75.266 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_OBS-L.jpg
