SEF	1.0.0
ID	MountForestCanada
Name	MountForest
Lat	44.01
Lon	279.11
Alt	137.16
Source	ODR
Link	https://opendatarescue.org
Vbl	td
Stat	point
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	06	18	07	00	0	12.22	|	orig=54.00 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_EXT.jpg
1872	06	19	07	00	0	15.56	|	orig=60.00 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_EXT.jpg
1872	06	20	07	00	0	18.89	|	orig=66.00 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_EXT.jpg
1872	06	21	07	00	0	19.44	|	orig=67.00 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_EXT.jpg
1872	06	22	07	00	0	11.11	|	orig=52 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_EXT.jpg
1872	06	23	07	00	0	14.44	|	orig=58 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_EXT.jpg
1872	06	24	07	00	0	15.00	|	orig=59 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_EXT.jpg
1872	06	25	07	00	0	15.56	|	orig=60 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_EXT.jpg
1872	06	26	07	00	0	18.33	|	orig=65 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_EXT.jpg
1872	06	27	07	00	0	18.33	|	orig=65 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_EXT.jpg
1872	06	28	07	00	0	20.00	|	orig=68 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_EXT.jpg
1872	06	29	07	00	0	17.22	|	orig=63 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_EXT.jpg
1872	06	30	07	00	0	17.22	|	orig=63 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-06-01_EXT.jpg
1872	07	08	07	00	0	-999	|	orig=Empty F|Local time: 0700|QC flag: missing|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	08	01	07	00	0	12.78	|	orig=55 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
1872	08	02	07	00	0	17.50	|	orig=63.5 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
1872	08	03	07	00	0	13.06	|	orig=55.5 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
1872	08	04	07	00	0	12.78	|	orig=55 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
1872	08	05	07	00	0	15.00	|	orig=59.0 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
1872	08	06	07	00	0	18.06	|	orig=64.5 F|Local time: 0700|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
