SEF	1.0.0
ID	MountForestCanada
Name	MountForest
Lat	44.01
Lon	279.11
Alt	137.16
Source	ODR
Link	https://opendatarescue.org
Vbl	td
Stat	point
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1872	07	01	00	00	24	-2.22	|	orig=28 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	02	00	00	24	-7.22	|	orig=19 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	03	00	00	24	-6.67	|	orig=20 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	04	00	00	24	-8.89	|	orig=16 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	05	00	00	24	-14.44	|	orig=6 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	06	00	00	24	-15.00	|	orig=5 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	07	00	00	24	-15.56	|	orig=4 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	08	00	00	24	-7.22	|	orig=19 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	09	00	00	24	-17.71	|	orig=.13 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	10	00	00	24	-7.78	|	orig=18 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	11	00	00	24	-5.56	|	orig=22 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	12	00	00	24	-6.11	|	orig=21 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	13	00	00	24	-13.33	|	orig=8 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	14	00	00	24	-8.89	|	orig=16 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	15	00	00	24	-7.78	|	orig=18 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	16	00	00	24	-1.67	|	orig=29 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	17	00	00	24	-8.33	|	orig=17 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	18	00	00	24	-8.89	|	orig=16 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	19	00	00	24	-13.44	|	orig=7.8 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	20	00	00	24	-11.67	|	orig=11.0 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	21	00	00	24	-7.78	|	orig=18.0 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	22	00	00	24	-12.22	|	orig=10 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	23	00	00	24	-14.44	|	orig=6 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	24	00	00	24	-11.11	|	orig=12 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	25	00	00	24	-10.56	|	orig=13 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	26	00	00	24	-9.44	|	orig=15 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	27	00	00	24	-12.78	|	orig=9 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	28	00	00	24	-9.44	|	orig=15 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	29	00	00	24	-7.78	|	orig=18 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	30	00	00	24	-9.44	|	orig=15 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	07	31	00	00	24	-12.22	|	orig=10 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-07-01_EXT.jpg
1872	08	01	00	00	24	-12.22	|	orig=10 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
1872	08	02	00	00	24	-6.67	|	orig=20 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
1872	08	03	00	00	24	-10.39	|	orig=13.3 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
1872	08	04	00	00	24	-15.00	|	orig=5 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
1872	08	05	00	00	24	-11.67	|	orig=11 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
1872	08	06	00	00	24	-8.33	|	orig=17 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
1872	08	07	00	00	24	-7.78	|	orig=18 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
1872	08	08	00	00	24	-5.56	|	orig=22 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
1872	08	09	00	00	24	-6.67	|	orig=20 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
1872	08	10	00	00	24	-6.11	|	orig=21 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
1872	08	11	00	00	24	-10.00	|	orig=14 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
1872	08	12	00	00	24	-7.78	|	orig=18 F|Local time: mean|QC flag: None|Image File: MountForest_USSI-401_M1958_1872-08-01_EXT.jpg
