SEF	1.0.0
ID	NewWestminsterCanada
Name	NewWestminster
Lat	49.213
Lon	237.1
Alt	10.36
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	mean
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1865	01	01	00	00	24	2.61	|	orig=36.7 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	02	00	00	24	2.78	|	orig=37.0 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	03	00	00	24	3.39	|	orig=38.1 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	04	00	00	24	4.44	|	orig=40.0 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	05	00	00	24	2.67	|	orig=36.8 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	06	00	00	24	2.06	|	orig=35.7 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	07	00	00	24	2.06	|	orig=35.7 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	08	00	00	24	0.00	|	orig=32.0 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	09	00	00	24	0.83	|	orig=33.5 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	10	00	00	24	1.50	|	orig=34.7 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	11	00	00	24	1.06	|	orig=33.9 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	12	00	00	24	0.22	|	orig=32.4 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	13	00	00	24	0.94	|	orig=33.7 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	14	00	00	24	2.50	|	orig=36.5 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	15	00	00	24	1.94	|	orig=35.5 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	16	00	00	24	4.50	|	orig=40.1 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	17	00	00	24	4.11	|	orig=39.4 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	18	00	00	24	3.11	|	orig=37.6 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	19	00	00	24	1.56	|	orig=34.8 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	20	00	00	24	0.78	|	orig=33.4 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	21	00	00	24	1.50	|	orig=34.7 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	22	00	00	24	-1.72	|	orig=28.9 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	23	00	00	24	-2.78	|	orig=27.0 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	24	00	00	24	-6.61	|	orig=20.1 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	25	00	00	24	-2.72	|	orig=27.1 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	26	00	00	24	-2.00	|	orig=28.4 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	27	00	00	24	-0.72	|	orig=30.7 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	28	00	00	24	0.28	|	orig=32.5 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	29	00	00	24	1.39	|	orig=34.5 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	30	00	00	24	1.67	|	orig=35.0 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	02	01	00	00	24	3.50	|	orig=38.3 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	02	00	00	24	1.89	|	orig=35.4 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	03	00	00	24	1.22	|	orig=34.2 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	04	00	00	24	0.44	|	orig=32.8 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	05	00	00	24	-0.39	|	orig=31.3 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	06	00	00	24	1.06	|	orig=33.9 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	07	00	00	24	1.89	|	orig=35.4 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	08	00	00	24	1.83	|	orig=35.3 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	09	00	00	24	1.67	|	orig=35.0 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	10	00	00	24	3.72	|	orig=38.7 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	11	00	00	24	3.28	|	orig=37.9 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	12	00	00	24	3.39	|	orig=38.1 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	13	00	00	24	2.61	|	orig=36.7 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	14	00	00	24	1.78	|	orig=35.2 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	15	00	00	24	1.06	|	orig=33.9 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	16	00	00	24	1.39	|	orig=34.5 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	17	00	00	24	1.22	|	orig=34.2 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	18	00	00	24	1.67	|	orig=35.0 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	19	00	00	24	2.11	|	orig=35.8 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	20	00	00	24	2.06	|	orig=35.7 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	21	00	00	24	1.11	|	orig=34.0 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	22	00	00	24	1.00	|	orig=33.8 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	23	00	00	24	2.33	|	orig=36.2 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	24	00	00	24	0.50	|	orig=32.9 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	26	00	00	24	-5.83	|	orig=21.5 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	27	00	00	24	1.39	|	orig=34.5 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	02	28	00	00	24	-2.94	|	orig=26.7 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-02-01_OBS-F.jpg
1865	03	01	00	00	24	-9.89	|	orig=14.2 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	02	00	00	24	-6.22	|	orig=20.8 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	03	00	00	24	-4.44	|	orig=24.0 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	04	00	00	24	-0.94	|	orig=30.3 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
1865	03	05	00	00	24	1.00	|	orig=33.8 F|Local time: mean|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1865-03-01_OBS-F.jpg
