SEF	1.0.0
ID	NewWestminsterCanada
Name	NewWestminster
Lat	49.213
Lon	237.1
Alt	10.36
Source	ODR
Link	https://opendatarescue.org
Vbl	Txs
Stat	point
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1865	01	01	07	00	0	3.00	|	orig=37.4 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	02	07	00	0	2.78	|	orig=37.0 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	03	07	00	0	5.83	|	orig=42.5 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	04	07	00	0	2.78	|	orig=37.0 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	05	07	00	0	2.11	|	orig=35.8 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	06	07	00	0	1.78	|	orig=35.2 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	07	07	00	0	1.56	|	orig=34.8 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	08	07	00	0	1.11	|	orig=34.0 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	09	07	00	0	1.39	|	orig=34.5 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	10	07	00	0	3.33	|	orig=38.0 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	11	07	00	0	1.83	|	orig=35.3 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	12	07	00	0	0.56	|	orig=33.0 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	13	07	00	0	3.06	|	orig=37.5 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	14	07	00	0	0.44	|	orig=32.8 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	15	07	00	0	3.89	|	orig=39.0 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	16	07	00	0	3.78	|	orig=38.8 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	17	07	00	0	4.17	|	orig=39.5 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	18	07	00	0	5.28	|	orig=41.5 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	19	07	00	0	5.28	|	orig=41.5 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	20	07	00	0	2.50	|	orig=36.5 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
