SEF	1.0.0
ID	NewWestminsterCanada
Name	NewWestminster
Lat	49.213
Lon	237.1
Alt	10.36
Source	ODR
Link	https://opendatarescue.org
Vbl	rh
Stat	point
Unit	%
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1865	01	01	07	00	0	92.10	|	orig=0.921 p|Local time: 0700|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	01	14	00	0	91.60	|	orig=0.916 p|Local time: 1400|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	02	07	00	0	97.30	|	orig=0.973 p|Local time: 0700|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	02	14	00	0	100.00	|	orig=1.000 p|Local time: 1400|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	03	07	00	0	97.30	|	orig=0.973 p|Local time: 0700|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	03	14	00	0	90.70	|	orig=0.907 p|Local time: 1400|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	04	07	00	0	92.50	|	orig=0.925 p|Local time: 0700|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	04	14	00	0	94.10	|	orig=0.941 p|Local time: 1400|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	05	07	00	0	90.40	|	orig=0.904 p|Local time: 0700|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	05	14	00	0	27.10	|	orig=0.271 p|Local time: 1400|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	06	07	00	0	97.90	|	orig=0.979 p|Local time: 0700|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	06	14	00	0	97.20	|	orig=0.972 p|Local time: 1400|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	07	07	00	0	91.20	|	orig=0.912 p|Local time: 0700|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	07	14	00	0	94.90	|	orig=0.949 p|Local time: 1400|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	08	07	00	0	93.30	|	orig=0.933 p|Local time: 0700|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	08	14	00	0	92.60	|	orig=0.926 p|Local time: 1400|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	09	07	00	0	93.60	|	orig=0.936 p|Local time: 0700|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	09	14	00	0	89.80	|	orig=0.898 p|Local time: 1400|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	10	07	00	0	95.50	|	orig=0.955 p|Local time: 0700|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	10	14	00	0	90.00	|	orig=0.900 p|Local time: 1400|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	11	07	00	0	87.20	|	orig=0.872 p|Local time: 0700|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	11	14	00	0	93.70	|	orig=0.937 p|Local time: 1400|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	12	07	00	0	88.80	|	orig=0.888 p|Local time: 0700|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	12	14	00	0	83.30	|	orig=0.833 p|Local time: 1400|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	13	07	00	0	95.10	|	orig=0.951 p|Local time: 0700|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	13	14	00	0	92.60	|	orig=0.926 p|Local time: 1400|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	14	07	00	0	92.20	|	orig=0.922 p|Local time: 0700|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	14	14	00	0	91.10	|	orig=0.911 p|Local time: 1400|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	15	07	00	0	97.50	|	orig=0.975 p|Local time: 0700|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	15	14	00	0	97.60	|	orig=0.976 p|Local time: 1400|QC flag: multiply by 100|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
