SEF	1.0.0
ID	NewWestminsterCanada
Name	NewWestminster
Lat	49.213
Lon	237.1
Alt	10.36
Source	ODR
Link	https://opendatarescue.org
Vbl	rrg
Stat	point
Unit	mm
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1865	01	01	09	00	0	1.02	|	orig=0.04 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	02	09	00	0	18.80	|	orig=0.74 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	03	09	00	0	8.13	|	orig=0.32 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	04	09	00	0	0.00	|	orig=0.00 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	05	09	00	0	10.16	|	orig=0.40 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	06	09	00	0	1.52	|	orig=0.06 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	07	09	00	0	0.00	|	orig=0.00 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	08	09	00	0	0.00	|	orig=0.00 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	09	09	00	0	0.00	|	orig=0.00 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	10	09	00	0	7.11	|	orig=0.28 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	11	09	00	0	0.00	|	orig=0.00 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	12	09	00	0	0.00	|	orig=0.00 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	13	09	00	0	1.52	|	orig=0.06 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	14	09	00	0	0.00	|	orig=0.00 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	15	09	00	0	4.57	|	orig=0.18 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	16	09	00	0	9.91	|	orig=0.39 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	17	09	00	0	11.18	|	orig=0.44 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	18	09	00	0	7.37	|	orig=0.29 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	19	09	00	0	0.76	|	orig=0.03 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	21	09	00	0	0.00	|	orig=0.00 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	22	09	00	0	0.00	|	orig=0.00 in|Local time: 0900|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
