SEF	1.0.0
ID	NewWestminsterCanada
Name	NewWestminster
Lat	49.213
Lon	237.1
Alt	10.36
Source	ODR
Link	https://opendatarescue.org
Vbl	tb
Stat	point
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1865	01	01	07	00	0	1.00	|	orig=33.8 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	01	14	00	0	1.72	|	orig=35.1 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	02	07	00	0	2.78	|	orig=37.0 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	02	14	00	0	2.89	|	orig=37.2 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	03	07	00	0	2.89	|	orig=37.2 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	03	14	00	0	4.50	|	orig=40.1 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	04	07	00	0	3.56	|	orig=38.4 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	04	14	00	0	4.44	|	orig=40.0 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	05	07	00	0	2.11	|	orig=35.8 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	05	14	00	0	2.67	|	orig=36.8 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	06	07	00	0	0.00	|	orig=32.0 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	06	14	00	0	2.06	|	orig=35.7 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	07	07	00	0	1.17	|	orig=34.1 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	07	14	00	0	0.83	|	orig=33.5 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	08	07	00	0	0.61	|	orig=33.1 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	08	14	00	0	1.11	|	orig=34.0 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	09	07	00	0	0.28	|	orig=32.5 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	09	14	00	0	0.56	|	orig=33.0 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	10	07	00	0	2.50	|	orig=36.5 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	10	14	00	0	1.33	|	orig=34.4 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	11	07	00	0	-0.11	|	orig=31.8 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	11	14	00	0	2.39	|	orig=36.3 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	12	07	00	0	0.00	|	orig=32.0 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	12	14	00	0	-0.11	|	orig=31.8 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	13	07	00	0	1.39	|	orig=34.5 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	13	14	00	0	1.17	|	orig=34.1 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	14	07	00	0	-0.44	|	orig=31.2 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	14	14	00	0	3.94	|	orig=39.1 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	15	07	00	0	3.72	|	orig=38.7 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	15	14	00	0	2.22	|	orig=36.0 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	16	07	00	0	2.50	|	orig=36.5 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	16	14	00	0	4.72	|	orig=40.5 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	17	07	00	0	3.78	|	orig=38.8 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	17	14	00	0	4.44	|	orig=40.0 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	18	07	00	0	1.67	|	orig=35.0 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	18	14	00	0	4.28	|	orig=39.7 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	19	07	00	0	0.00	|	orig=32.0 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	19	14	00	0	4.00	|	orig=39.2 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	20	07	00	0	-0.67	|	orig=30.8 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	20	14	00	0	2.17	|	orig=35.9 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	21	07	00	0	-1.39	|	orig=29.5 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	21	14	00	0	0.78	|	orig=33.4 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	22	07	00	0	-3.11	|	orig=26.4 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	22	14	00	0	-0.83	|	orig=30.5 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	23	07	00	0	-4.44	|	orig=24.0 F|Local time: 0700|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
1865	01	23	14	00	0	-2.33	|	orig=27.8 F|Local time: 1400|QC flag: None|Image File: NewWestminster_RE-101_UKMO_1859-11-01_OBS-F.jpg
