SEF	1.0.0
ID	NiagaraCanada
Name	Niagara
Lat	43.15
Lon	281.67
Alt	82.3
Source	ODR
Link	https://opendatarescue.org
Vbl	ch
Stat	point
Unit	cloudatlas
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1861	02	03	07	00	0	Ch0	|	orig=Empty uct|Local time: 0700|QC flag: no entry: clear|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	03	14	00	0	Ch0	|	orig=Empty uct|Local time: 1400|QC flag: no entry: clear|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	03	21	00	0	Ch0	|	orig=Empty uct|Local time: 2100|QC flag: no entry: clear|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	04	07	00	0	-999	|	orig=- uct|Local time: 0700|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	04	14	00	0	Ch6	|	orig=Cirrus uct|Local time: 1400|QC flag: cloud illegible|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	04	21	00	0	-999	|	orig=- uct|Local time: 2100|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	05	07	00	0	-999	|	orig=- uct|Local time: 0700|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	05	14	00	0	-999	|	orig=- uct|Local time: 1400|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	05	21	00	0	-999	|	orig=- uct|Local time: 2100|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	06	07	00	0	-999	|	orig=- uct|Local time: 0700|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	06	14	00	0	-999	|	orig=- uct|Local time: 1400|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	06	21	00	0	-999	|	orig=- uct|Local time: 2100|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	07	07	00	0	-999	|	orig=- uct|Local time: 0700|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	07	14	00	0	-999	|	orig=- uct|Local time: 1400|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	07	21	00	0	-999	|	orig=- uct|Local time: 2100|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	08	07	00	0	-999	|	orig=- uct|Local time: 0700|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	08	14	00	0	-999	|	orig=- uct|Local time: 1400|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	08	21	00	0	-999	|	orig=- uct|Local time: 2100|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	09	07	00	0	-999	|	orig=Cumulo-stratus uct|Local time: 0700|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	09	14	00	0	-999	|	orig=- uct|Local time: 1400|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
