SEF	1.0.0
ID	NiagaraCanada
Name	Niagara
Lat	43.15
Lon	281.67
Alt	82.3
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	mm
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1861	02	01	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	02	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	03	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	04	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	05	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	06	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	07	00	00	0	30.48	|	orig=1.2000 in|Local time: 0000|QC flag: high value|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	08	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	09	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	10	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	11	00	00	0	10.69	|	orig=0.4209 in|Local time: 0000|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	12	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	13	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	14	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	15	00	00	0	24.91	|	orig=0.9808 in|Local time: 0000|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	16	00	00	0	5.08	|	orig=0.2000 in|Local time: 0000|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	16	00	00	0	5.08	|	orig=0.2000 in|Local time: 0000|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	17	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	18	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	19	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	20	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	21	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	22	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	23	00	00	0	15.24	|	orig=0.6000 in|Local time: 0000|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	23	00	00	0	2.87	|	orig=0.1130 in|Local time: 0000|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	24	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	25	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	26	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	27	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	28	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	03	01	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	02	00	00	0	0.83	|	orig=0.0325 in|Local time: 0000|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	03	00	00	0	12.54	|	orig=0.4936 in|Local time: 0000|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	04	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	05	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	06	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	07	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	08	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	09	00	00	0	2.54	|	orig=0.1000 in|Local time: 0000|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	10	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
1861	03	11	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Niagara_UCGS-200_M1958_1861-03-01_OBS-C.jpeg
