SEF	1.0.0
ID	NiagaraCanada
Name	Niagara
Lat	43.15
Lon	281.67
Alt	82.3
Source	ODR
Link	https://opendatarescue.org
Vbl	rh
Stat	mean
Unit	%
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1861	02	01	00	00	24	100.00	|	orig=100.0 p|Local time: mean|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	02	00	00	24	94.66	|	orig=94.66 p|Local time: mean|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	03	00	00	24	-999	|	orig=Empty p|Local time: mean|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	04	00	00	24	84.00	|	orig=84.00 p|Local time: mean|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	05	00	00	24	77.50	|	orig=77.50 p|Local time: mean|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	06	00	00	24	87.33	|	orig=87.33 p|Local time: mean|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	07	00	00	24	67.50	|	orig=67.50 p|Local time: mean|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	08	00	00	24	69.66	|	orig=69.66 p|Local time: mean|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	09	00	00	24	82.00	|	orig=82.0 p|Local time: mean|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	10	00	00	24	-999	|	orig=Empty p|Local time: mean|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	11	00	00	24	86.33	|	orig=86.33 p|Local time: mean|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	12	00	00	24	82.33	|	orig=82.33 p|Local time: mean|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	13	00	00	24	82.33	|	orig=82.33 p|Local time: mean|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	14	00	00	24	80.33	|	orig=80.33 p|Local time: mean|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	15	00	00	24	95.66	|	orig=95.66 p|Local time: mean|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	16	00	00	24	87.66	|	orig=87.66 p|Local time: mean|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	17	00	00	24	-999	|	orig=Empty p|Local time: mean|QC flag: missing|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	18	00	00	24	92.33	|	orig=92.33 p|Local time: mean|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
1861	02	19	00	00	24	83.00	|	orig=83.0 p|Local time: mean|QC flag: None|Image File: Niagara_UCGS-200_M1958_1861-02-01_OBS-C.jpg
