SEF	1.0.0
ID	QuebecCanada
Name	QuebecCity
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	cl
Stat	point
Unit	cloudatlas
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1853	05	01	09	00	0	Cl0	|	orig=Empty lct|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	01	15	00	0	Cl0	|	orig=Empty lct|Local time: 1500|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	02	09	00	0	Cl0	|	orig=Empty lct|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	02	15	00	0	Cl0	|	orig=Empty lct|Local time: 1500|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	03	09	00	0	Cl0	|	orig=Empty lct|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	03	15	00	0	Cl0	|	orig=Empty lct|Local time: 1500|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	04	09	00	0	Cl0	|	orig=Empty lct|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	04	15	00	0	Cl0	|	orig=Empty lct|Local time: 1500|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	05	09	00	0	Cl0	|	orig=Empty lct|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	05	15	00	0	Cl0	|	orig=Empty lct|Local time: 1500|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	06	09	00	0	Cl0	|	orig=Empty lct|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	06	15	00	0	Cl0	|	orig=Empty lct|Local time: 1500|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	07	09	00	0	Cl0	|	orig=Empty lct|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	07	15	00	0	Cl0	|	orig=Empty lct|Local time: 1500|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	08	09	00	0	Cl0	|	orig=Empty lct|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	08	15	00	0	Cl0	|	orig=Empty lct|Local time: 1500|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	09	09	00	0	Cl0	|	orig=Empty lct|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	09	15	00	0	Cl0	|	orig=Empty lct|Local time: 1500|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	10	09	00	0	Cl0	|	orig=Empty lct|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	10	15	00	0	Cl0	|	orig=Empty lct|Local time: 1500|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	11	09	00	0	Ch6	|	orig=Cirro-stratus lct|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	11	15	00	0	Cl2	|	orig=Cumulus lct|Local time: 1500|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
