SEF	1.0.0
ID	QuebecCanada
Name	QuebecCity
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	tb
Stat	mean
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1853	05	11	00	00	24	9.44	|	orig=49.00 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	12	00	00	24	8.11	|	orig=46.6 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	13	00	00	24	5.83	|	orig=42.5 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	14	00	00	24	6.11	|	orig=43.00 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	15	00	00	24	6.39	|	orig=43.5 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	16	00	00	24	12.22	|	orig=54.0 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	17	00	00	24	13.47	|	orig=56.25 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	18	00	00	24	6.67	|	orig=44.0 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	19	00	00	24	4.58	|	orig=40.25 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	20	00	00	24	3.06	|	orig=37.5 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	21	00	00	24	3.89	|	orig=39.0 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	22	00	00	24	8.75	|	orig=47.75 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	23	00	00	24	9.17	|	orig=48.5 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	24	00	00	24	9.17	|	orig=48.5 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	25	00	00	24	9.17	|	orig=48.5 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	26	00	00	24	9.86	|	orig=49.75 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	27	00	00	24	13.19	|	orig=55.75 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	28	00	00	24	12.22	|	orig=54.0 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	29	00	00	24	12.22	|	orig=54.0 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	30	00	00	24	15.28	|	orig=59.5 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	31	00	00	24	3.33	|	orig=38.0 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	06	01	00	00	24	7.50	|	orig=45.5 F|Local time: mean|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
