SEF	1.0.0
ID	QuebecCanada
Name	QuebecCity
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	Tn
Stat	point
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1853	05	11	00	00	0	8.89	|	orig=48.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	12	00	00	0	3.33	|	orig=38.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	13	00	00	0	6.11	|	orig=43.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	14	00	00	0	3.61	|	orig=38.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	15	00	00	0	4.17	|	orig=39.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	16	00	00	0	8.61	|	orig=47.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	17	00	00	0	11.67	|	orig=53.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	18	00	00	0	5.00	|	orig=41.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	19	00	00	0	1.67	|	orig=35.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	20	00	00	0	2.50	|	orig=36.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	21	00	00	0	2.22	|	orig=36.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	22	00	00	0	7.78	|	orig=46.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	23	00	00	0	9.44	|	orig=49.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	24	00	00	0	7.22	|	orig=45.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	25	00	00	0	7.78	|	orig=46.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	26	00	00	0	10.56	|	orig=51.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	27	00	00	0	10.56	|	orig=51.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	28	00	00	0	10.00	|	orig=50.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	29	00	00	0	9.44	|	orig=49.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	30	00	00	0	12.78	|	orig=55.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	31	00	00	0	2.78	|	orig=37.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	06	01	00	00	0	4.44	|	orig=40 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	02	00	00	0	11.39	|	orig=52.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	03	00	00	0	11.11	|	orig=52.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	04	00	00	0	6.94	|	orig=44.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	05	00	00	0	6.67	|	orig=44.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	06	00	00	0	13.89	|	orig=57.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	07	00	00	0	18.06	|	orig=64.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	08	00	00	0	8.33	|	orig=47.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	09	00	00	0	6.67	|	orig=44.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	10	00	00	0	11.67	|	orig=53.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	11	00	00	0	13.06	|	orig=55.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	12	00	00	0	7.22	|	orig=45.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	13	00	00	0	12.78	|	orig=55.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	14	00	00	0	14.44	|	orig=58.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	15	00	00	0	18.33	|	orig=65.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	16	00	00	0	21.94	|	orig=71.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	17	00	00	0	21.67	|	orig=71.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	18	00	00	0	15.00	|	orig=59.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	19	00	00	0	13.33	|	orig=56.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	20	00	00	0	13.33	|	orig=56.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	21	00	00	0	12.78	|	orig=55.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	22	00	00	0	12.22	|	orig=54.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	23	00	00	0	13.89	|	orig=57.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	24	00	00	0	13.33	|	orig=56.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	25	00	00	0	14.44	|	orig=58.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	26	00	00	0	8.61	|	orig=47.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	27	00	00	0	7.50	|	orig=45.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	28	00	00	0	7.78	|	orig=46.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	29	00	00	0	12.22	|	orig=54.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	30	00	00	0	16.11	|	orig=61.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	07	01	00	00	0	17.78	|	orig=64.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-07-01_OBS-F.png
1853	07	02	00	00	0	11.11	|	orig=52.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-07-01_OBS-F.png
1853	07	03	00	00	0	11.11	|	orig=52.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-07-01_OBS-F.png
1853	07	04	00	00	0	16.94	|	orig=62.5 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-07-01_OBS-F.png
1853	07	05	00	00	0	14.44	|	orig=58.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-07-01_OBS-F.png
1853	07	06	00	00	0	13.89	|	orig=57.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-07-01_OBS-F.png
1853	07	07	00	00	0	8.33	|	orig=47.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-07-01_OBS-F.png
1853	07	08	00	00	0	9.44	|	orig=49.0 F|Local time: 0000|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-07-01_OBS-F.png
