SEF	1.0.0
ID	QuebecCanada
Name	QuebecCity
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	rr
Stat	point
Unit	mm
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1853	05	01	09	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	02	09	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	03	09	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	04	09	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	05	09	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	06	09	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	07	09	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	08	09	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	09	09	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	10	09	00	0	0.00	|	orig=Empty in|Local time: 0900|QC flag: empty|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	11	09	00	0	0.00	|	orig=0 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	12	09	00	0	0.00	|	orig=0 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	13	09	00	0	18.29	|	orig=0.72 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	14	09	00	0	0.00	|	orig=0 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	15	09	00	0	0.00	|	orig=0 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	16	09	00	0	3.81	|	orig=0.15 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	17	09	00	0	3.05	|	orig=0.12 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	18	09	00	0	0.00	|	orig=0 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	19	09	00	0	17.27	|	orig=0.68 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	20	09	00	0	18.54	|	orig=0.73 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	21	09	00	0	0.00	|	orig=0 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	22	09	00	0	21.84	|	orig=0.86 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	23	09	00	0	3.05	|	orig=0.12 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	24	09	00	0	5.08	|	orig=0.20 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	25	09	00	0	0.00	|	orig=0 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	26	09	00	0	0.00	|	orig=0 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	27	09	00	0	1.52	|	orig=0.06 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	28	09	00	0	0.00	|	orig=0 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	29	09	00	0	1.27	|	orig=0.05 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	30	09	00	0	0.00	|	orig=0 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	05	31	09	00	0	4.32	|	orig=0.17 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-05-01_OBS-F.png
1853	06	01	09	00	0	0.00	|	orig=0 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	02	09	00	0	0.00	|	orig=0 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	03	09	00	0	3.56	|	orig=0.14 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	04	09	00	0	10.92	|	orig=0.43 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
1853	06	05	09	00	0	0.00	|	orig=0 in|Local time: 0900|QC flag: None|Image File: Quebec_RE-103_UKMO_1853-06-01_OBS-F.png
