SEF	1.0.0
ID	QuebecCanada
Name	QuebecCity
Lat	44.235
Lon	283.47
Alt	85.3
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	point
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1866	01	01	00	00	24	-7.67	|	orig=18.2 F|Local time: mean|QC flag: None|Image File: Quebec_AMD-848_UKMO_1866-01-01_OBS-F.png
1866	01	02	00	00	24	-2.44	|	orig=27.6 F|Local time: mean|QC flag: None|Image File: Quebec_AMD-848_UKMO_1866-01-01_OBS-F.png
1866	01	03	00	00	24	0.00	|	orig=32.0 F|Local time: mean|QC flag: None|Image File: Quebec_AMD-848_UKMO_1866-01-01_OBS-F.png
1866	01	04	00	00	24	-6.89	|	orig=19.6 F|Local time: mean|QC flag: None|Image File: Quebec_AMD-848_UKMO_1866-01-01_OBS-F.png
1866	01	05	00	00	24	16.11	|	orig=61.0 F|Local time: mean|QC flag: None|Image File: Quebec_AMD-848_UKMO_1866-01-01_OBS-F.png
1866	01	06	00	00	24	-6.78	|	orig=19.8 F|Local time: mean|QC flag: None|Image File: Quebec_AMD-848_UKMO_1866-01-01_OBS-F.png
1866	01	07	00	00	24	-9.00	|	orig=15.8 F|Local time: mean|QC flag: None|Image File: Quebec_AMD-848_UKMO_1866-01-01_OBS-F.png
1866	01	08	00	00	24	-1.11	|	orig=30.0 F|Local time: mean|QC flag: None|Image File: Quebec_AMD-848_UKMO_1866-01-01_OBS-F.png
1866	01	09	00	00	24	0.56	|	orig=33.0 F|Local time: mean|QC flag: None|Image File: Quebec_AMD-848_UKMO_1866-01-01_OBS-F.png
1866	01	10	00	00	24	-1.78	|	orig=28.8 F|Local time: mean|QC flag: None|Image File: Quebec_AMD-848_UKMO_1866-01-01_OBS-F.png
1866	01	11	00	00	24	-0.56	|	orig=31.0 F|Local time: mean|QC flag: None|Image File: Quebec_AMD-848_UKMO_1866-01-01_OBS-F.png
1866	01	12	00	00	24	-9.44	|	orig=15.0 F|Local time: mean|QC flag: None|Image File: Quebec_AMD-848_UKMO_1866-01-01_OBS-F.png
