SEF	1.0.0
ID	RigoletCanada
Name	Rigolet
Lat	54.18
Lon	301.46
Alt	unknown
Source	ODR
Link	https://opendatarescue.org
Vbl	cl
Stat	point
Unit	cloudatlas
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1860	07	01	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	01	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	02	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	02	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	03	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	03	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	04	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	04	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	05	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	05	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	06	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	06	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	07	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	07	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
