SEF	1.0.0
ID	RigoletCanada
Name	Rigolet
Lat	54.18
Lon	301.46
Alt	unknown
Source	ODR
Link	https://opendatarescue.org
Vbl	ww
Stat	point
Unit	manual observation
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1860	07	01	07	00	0	BKN	|	orig=cloudy mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	02	07	00	0	RA	|	orig=rain mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	03	07	00	0	SKC	|	orig=clear mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	03	21	00	0	BKN	|	orig=cloudy mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	04	07	00	0	RA	|	orig=rain mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	04	21	00	0	BKN	|	orig=cloudy mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	05	07	00	0	RA	|	orig=rain mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	05	21	00	0	SKC	|	orig=clear mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	06	07	00	0	SKC	|	orig=clear mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	06	21	00	0	BKN	|	orig=cloudy mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	07	07	00	0	SKC	|	orig=clear mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	07	21	00	0	BKN	|	orig=cloudy mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	08	07	00	0	BKN	|	orig=cloudy mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	08	21	00	0	BKN	|	orig=cloudy mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	09	07	00	0	FG	|	orig=foggy. all day mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	10	07	00	0	RA	|	orig=drizzling rain mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	11	07	00	0	SKC	|	orig=clear mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	11	21	00	0	SKC	|	orig=clear mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	12	07	00	0	SKC	|	orig=clear mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	12	21	00	0	BKN	|	orig=cloudy mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	13	07	00	0	SKC	|	orig=clear mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	13	21	00	0	BKN	|	orig=cloudy mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	14	07	00	0	BKN	|	orig=cloudy mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	14	21	00	0	BKN	|	orig=cloudy mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	15	07	00	0	RA	|	orig=rain mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	15	21	00	0	BKN	|	orig=cloudy mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	16	07	00	0	SKC	|	orig=clear mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	16	21	00	0	RA	|	orig=rain mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	17	21	00	0	SKC	|	orig=clear mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	18	07	00	0	RA	|	orig=cloudy rain mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	18	21	00	0	BKN	|	orig=cloudy mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	19	07	00	0	RA	|	orig=cloudy rain mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	19	21	00	0	BKN	|	orig=cloudy mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	20	21	00	0	BKN	|	orig=cloudy mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	21	07	00	0	RA	|	orig=rain mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	21	21	00	0	RA	|	orig=rain mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	22	07	00	0	BKN	|	orig=cloudy mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	22	21	00	0	SKC	|	orig=clear mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	23	07	00	0	RA	|	orig=rain mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	23	21	00	0	SKC	|	orig=clear mno|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
1860	07	24	07	00	0	BKN	|	orig=cloudy mno|Local time: 0700|QC flag: None|Image File: Rigolet_USSI-206_M1958_1860-07-01_OBS-F.jpg
