SEF	1.0.0
ID	RigoletCanada
Name	Rigolet
Lat	54.18
Lon	301.46
Alt	unknown
Source	ODR
Link	https://opendatarescue.org
Vbl	hd
Stat	point
Unit	deg
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1861	01	11	21	00	0	135	|	orig=South-East dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	20	21	00	0	0	|	orig=North dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	21	21	00	0	0	|	orig=North dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	22	21	00	0	0	|	orig=North dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	23	21	00	0	0	|	orig=North dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	24	21	00	0	0	|	orig=North dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	25	21	00	0	225	|	orig=South-West dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	26	21	00	0	0	|	orig=North dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	30	21	00	0	135	|	orig=South-East dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	01	31	21	00	0	45	|	orig=North-East dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-01-01_OBS-L.jpg
1861	02	14	21	00	0	45	|	orig=North-East dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-02-01_OBS-L.jpg
1861	03	01	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	02	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	10	21	00	0	225	|	orig=South-West dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	22	21	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	24	21	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	25	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	26	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	28	21	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	29	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	03	31	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-03-01_OBS-L.jpg
1861	04	13	21	00	0	270	|	orig=West dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-04-01_OBS-L.jpg
1861	06	01	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-06-01_OBS-L.jpg
1861	06	02	21	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: Rigolet_USSI-401_M1958_1861-06-01_OBS-L.jpg
