SEF	1.0.0
ID	StJohnsManitobaCanada
Name	StJohnsCollege
Lat	49.933
Lon	262.88
Alt	227
Source	ODR
Link	https://opendatarescue.org
Vbl	sd
Stat	point
Unit	mm
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1874	01	02	00	00	24	33.02	|	orig=1.30 in|Local time: daily|QC flag: high value|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	08	00	00	24	63.50	|	orig=2.50 in|Local time: daily|QC flag: high value|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	15	00	00	24	58.42	|	orig=2.30 in|Local time: daily|QC flag: high value|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	20	00	00	24	185.42	|	orig=7.30 in|Local time: daily|QC flag: high value|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	02	07	00	00	24	93.98	|	orig=3.70 in|Local time: daily|QC flag: high value|Image File: StJohnsCollege_WO-848_UKMO_1874-02-01_OBS-F.jpg
1874	02	11	00	00	24	147.32	|	orig=5.80 in|Local time: daily|QC flag: high value|Image File: StJohnsCollege_WO-848_UKMO_1874-02-01_OBS-F.jpg
1874	02	12	00	00	24	33.02	|	orig=1.30 in|Local time: daily|QC flag: high value|Image File: StJohnsCollege_WO-848_UKMO_1874-02-01_OBS-F.jpg
1874	02	17	00	00	24	63.50	|	orig=2.50 in|Local time: daily|QC flag: high value|Image File: StJohnsCollege_WO-848_UKMO_1874-02-01_OBS-F.jpg
1874	02	18	00	00	24	-999	|	orig=- in|Local time: daily|QC flag: missing|Image File: StJohnsCollege_WO-848_UKMO_1874-02-01_OBS-F.jpg
1874	02	20	00	00	24	17.78	|	orig=.70 in|Local time: daily|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-02-01_OBS-F.jpg
1874	02	27	00	00	24	190.50	|	orig=7.50 in|Local time: daily|QC flag: high value|Image File: StJohnsCollege_WO-848_UKMO_1874-02-01_OBS-F.jpg
1874	03	01	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	02	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	03	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	04	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	05	00	00	24	12.70	|	orig=0.50 in|Local time: daily|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	06	00	00	24	5.08	|	orig=0.20 in|Local time: daily|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	07	00	00	24	7.62	|	orig=0.30 in|Local time: daily|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	08	00	00	24	13.72	|	orig=0.54 in|Local time: daily|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	09	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	10	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	11	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	12	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	13	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	14	00	00	24	7.62	|	orig=0.30 in|Local time: daily|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	15	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	16	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	17	00	00	24	21.84	|	orig=0.86 in|Local time: daily|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	18	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	19	00	00	24	101.60	|	orig=4.00 in|Local time: daily|QC flag: high value|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	20	00	00	24	15.24	|	orig=0.60 in|Local time: daily|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	21	00	00	24	45.72	|	orig=1.80 in|Local time: daily|QC flag: high value|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	22	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	23	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	24	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	25	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	26	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	27	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	28	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	29	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	30	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	03	31	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-03-01_OBS-F.jpg
1874	04	24	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-04-01_OBS-F.jpg
1874	06	07	00	00	24	-999	|	orig=- in|Local time: daily|QC flag: missing|Image File: StJohnsCollege_WO-848_UKMO_1874-06-01_OBS-F.jpg
1874	06	16	00	00	24	-999	|	orig=- in|Local time: daily|QC flag: missing|Image File: StJohnsCollege_WO-848_UKMO_1874-06-01_OBS-F.jpg
1874	07	03	00	00	24	-999	|	orig=Illegible in|Local time: daily|QC flag: missing|Image File: StJohnsCollege_WO-848_UKMO_1874-07-01_OBS-F.jpg
1874	07	16	00	00	24	-999	|	orig=Illegible in|Local time: daily|QC flag: missing|Image File: StJohnsCollege_WO-848_UKMO_1874-07-01_OBS-F.jpg
1874	11	01	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	02	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	03	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	04	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	05	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	06	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	07	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	08	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	09	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	10	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	11	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	12	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	13	00	00	24	76.20	|	orig=3.00 in|Local time: daily|QC flag: high value|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	14	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	15	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	16	00	00	24	170.18	|	orig=6.70 in|Local time: daily|QC flag: high value|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	17	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	18	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	19	00	00	24	12.70	|	orig=0.50 in|Local time: daily|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	20	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	21	00	00	24	127.00	|	orig=5.00 in|Local time: daily|QC flag: high value|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	22	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	23	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	24	00	00	24	0.00	|	orig=Empty in|Local time: daily|QC flag: empty|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
1874	11	25	00	00	24	22.86	|	orig=0.90 in|Local time: daily|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-11-01_OBS-F.jpg
