SEF	1.0.0
ID	StJohnsManitobaCanada
Name	StJohnsCollege
Lat	49.933
Lon	262.88
Alt	227
Source	ODR
Link	https://opendatarescue.org
Vbl	w
Stat	point
Unit	mps
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1874	01	01	09	00	0	0.27	|	orig=0.6 mph|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	01	21	00	0	15	|	orig=15.6 Sm|Local time: 2100|QC flag: out of range|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	02	09	00	0	0.54	|	orig=1.2 mph|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	02	21	00	0	20	|	orig=20.5 Sm|Local time: 2100|QC flag: out of range|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	03	09	00	0	7.87	|	orig=17.6 mph|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	03	21	00	0	5	|	orig=3.6 Sm|Local time: 2100|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	05	09	00	0	9.39	|	orig=21 mph|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	09	09	00	0	3.22	|	orig=7.2 mph|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	09	21	00	0	1	|	orig=1.0 Sm|Local time: 2100|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	10	09	00	0	1.88	|	orig=4.2 mph|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	10	21	00	0	0	|	orig=0.0 Sm|Local time: 2100|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	12	09	00	0	0.54	|	orig=1.2 mph|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	12	21	00	0	20	|	orig=6.0 Sm|Local time: 2100|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	13	09	00	0	0.00	|	orig=0.0 mph|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	13	21	00	0	5	|	orig=3.6 Sm|Local time: 2100|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	14	09	00	0	1.07	|	orig=2.4 mph|Local time: 0900|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
1874	01	14	21	00	0	1	|	orig=1.2 Sm|Local time: 2100|QC flag: None|Image File: StJohnsCollege_WO-848_UKMO_1874-01-01_OBS-F.jpg
