SEF	1.0.0
ID	StJohnsCanada
Name	StJohnsNFLDDel
Lat	47.56
Lon	307.30
Alt	51.8
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	mean
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1856	12	18	00	00	24	-5.65	|	orig=21.83 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	24	00	00	24	7.04	|	orig=44.67 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1857	01	20	00	00	24	7.59	|	orig=45.67 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	27	00	00	24	-13.15	|	orig=8.33 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	02	01	00	00	24	-999	|	orig=Empty F|Local time: mean|QC flag: missing|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	09	00	00	24	13.15	|	orig=55.67 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	10	00	00	24	-999	|	orig=Empty F|Local time: mean|QC flag: missing|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	12	00	00	24	-18.15	|	orig=-0.67 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	13	00	00	24	-999	|	orig=Empty F|Local time: mean|QC flag: missing|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	03	01	00	00	24	-1.67	|	orig=29 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	02	00	00	24	-2.22	|	orig=28 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	03	00	00	24	5.00	|	orig=41.00 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	04	00	00	24	0.00	|	orig=32 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	05	00	00	24	0.56	|	orig=33 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	06	00	00	24	0.00	|	orig=32 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	07	00	00	24	2.22	|	orig=36 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	08	00	00	24	-1.67	|	orig=29 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	09	00	00	24	-10.56	|	orig=13 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	10	00	00	24	0.56	|	orig=33 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	11	00	00	24	-3.89	|	orig=25 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	12	00	00	24	-10.56	|	orig=13 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	13	00	00	24	-8.89	|	orig=16 F|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
