SEF	1.0.0
ID	StJohnsCanada
Name	StJohnsNFLDDel
Lat	47.56
Lon	307.30
Alt	51.8
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	mm
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1856	12	04	00	00	0	29.72	|	orig=1.170 in|Local time: 0000|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	22	00	00	0	2.79	|	orig=0.110 in|Local time: 0000|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	24	00	00	0	15.24	|	orig=0.600 in|Local time: 0000|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	25	00	00	0	53.59	|	orig=2.110 in|Local time: 0000|QC flag: high value|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	26	00	00	0	3.20	|	orig=0.126 in|Local time: 0000|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	27	00	00	0	20.32	|	orig=0.800 in|Local time: 0000|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	28	00	00	0	15.24	|	orig=0.600 in|Local time: 0000|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	29	00	00	0	6.86	|	orig=0.270 in|Local time: 0000|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1856	12	30	00	00	0	5.08	|	orig=0.200 in|Local time: 0000|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1856-12-01_OBS-F.jpg
1857	01	03	00	00	0	20.32	|	orig=0.800 in|Local time: 0000|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	05	00	00	0	50.80	|	orig=2.000 in|Local time: 0000|QC flag: high value|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	11	00	00	0	39.37	|	orig=1.550 in|Local time: 0000|QC flag: high value|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	14	00	00	0	10.16	|	orig=0.400 in|Local time: 0000|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-01-01_OBS-F.jpg
1857	01	23	00	00	0	38.86	|	orig=1.530 in|Local time: 0000|QC flag: high value|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-01-01_OBS-F.jpg
