SEF	1.0.0
ID	StJohnsCanada
Name	StJohnsNFLDDel
Lat	47.56
Lon	307.30
Alt	51.8
Source	ODR
Link	https://opendatarescue.org
Vbl	ptb
Stat	point
Unit	hour
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1857	02	09	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	13	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	14	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	16	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	17	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	19	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	20	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	21	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	02	22	00	00	24	empty	|	orig=Empty hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-02-01_OBS-F.jpg
1857	03	01	00	00	24	at night	|	orig=at night hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	02	00	00	24	3 am	|	orig=3 am hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	03	00	00	24	8 am	|	orig=8 am hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	06	00	00	24	6 am	|	orig=6 am hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	07	00	00	24	5 am	|	orig=5 am hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	10	00	00	24	12 pm	|	orig=12 pm hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	14	00	00	24	4 am	|	orig=4 am hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	17	00	00	24	4 pm	|	orig=4 pm hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	19	00	00	24	5 pm	|	orig=5 pm hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	20	00	00	24	8 am	|	orig=8 am hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	22	00	00	24	11 am	|	orig=11 am hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
1857	03	25	00	00	24	all day	|	orig=all day hr|Local time: mean|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-03-01_OBS-L.jpg
