SEF	1.0.0
ID	StJohnsCanada
Name	StJohnsNFLDDel
Lat	47.56
Lon	307.30
Alt	51.8
Source	ODR
Link	https://opendatarescue.org
Vbl	p
Stat	point
Unit	hPa
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1857	06	06	07	00	0	988.83	|	orig=29.20 inHg|Local time: 0700|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	06	14	00	0	988.49	|	orig=29.19 inHg|Local time: 1400|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	06	21	00	0	988.15	|	orig=29.18 inHg|Local time: 2100|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	07	07	00	0	987.13	|	orig=29.15 inHg|Local time: 0700|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	07	14	00	0	986.79	|	orig=29.14 inHg|Local time: 1400|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	07	21	00	0	981.04	|	orig=28.97 inHg|Local time: 2100|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	08	07	00	0	985.78	|	orig=29.11 inHg|Local time: 0700|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	08	14	00	0	985.10	|	orig=29.09 inHg|Local time: 1400|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	08	21	00	0	985.10	|	orig=29.09 inHg|Local time: 2100|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	09	07	00	0	984.76	|	orig=29.08 inHg|Local time: 0700|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	09	14	00	0	982.05	|	orig=29.00 inHg|Local time: 1400|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	09	21	00	0	982.39	|	orig=29.01 inHg|Local time: 2100|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	10	07	00	0	982.05	|	orig=29.00 inHg|Local time: 0700|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	10	14	00	0	981.04	|	orig=28.97 inHg|Local time: 1400|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	10	21	00	0	984.42	|	orig=29.07 inHg|Local time: 2100|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	11	07	00	0	992.89	|	orig=29.32 inHg|Local time: 0700|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	11	14	00	0	992.55	|	orig=29.31 inHg|Local time: 1400|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	11	21	00	0	995.94	|	orig=29.41 inHg|Local time: 2100|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	12	07	00	0	999.32	|	orig=29.51 inHg|Local time: 0700|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	12	14	00	0	1001.02	|	orig=29.56 inHg|Local time: 1400|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	12	21	00	0	1000.34	|	orig=29.54 inHg|Local time: 2100|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	13	07	00	0	997.63	|	orig=29.46 inHg|Local time: 0700|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	13	14	00	0	990.52	|	orig=29.25 inHg|Local time: 1400|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	13	21	00	0	989.50	|	orig=29.22 inHg|Local time: 2100|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	14	07	00	0	988.83	|	orig=29.20 inHg|Local time: 0700|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	14	14	00	0	984.42	|	orig=29.07 inHg|Local time: 1400|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	14	21	00	0	981.71	|	orig=28.99 inHg|Local time: 2100|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	15	07	00	0	979.01	|	orig=28.91 inHg|Local time: 0700|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	15	14	00	0	978.67	|	orig=28.90 inHg|Local time: 1400|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	15	21	00	0	979.68	|	orig=28.93 inHg|Local time: 2100|QC flag: none|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
