SEF	1.0.0
ID	StJohnsCanada
Name	StJohnsNFLDDel
Lat	47.56
Lon	307.30
Alt	51.8
Source	ODR
Link	https://opendatarescue.org
Vbl	atb
Stat	point
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1857	06	06	07	00	0	13.89	|	orig=57 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	06	14	00	0	15.56	|	orig=60 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	06	21	00	0	15.00	|	orig=59 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	07	07	00	0	18.33	|	orig=65 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	07	14	00	0	19.44	|	orig=67 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	07	21	00	0	18.89	|	orig=66 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	08	07	00	0	17.22	|	orig=63 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	08	14	00	0	17.78	|	orig=64 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	08	21	00	0	17.22	|	orig=63 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	09	07	00	0	17.22	|	orig=63 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	09	14	00	0	15.56	|	orig=60 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	09	21	00	0	17.78	|	orig=64 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	10	07	00	0	15.56	|	orig=60 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	10	14	00	0	15.00	|	orig=59 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	10	21	00	0	18.33	|	orig=65 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	11	07	00	0	13.33	|	orig=56 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	11	14	00	0	16.11	|	orig=61 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	11	21	00	0	16.11	|	orig=61 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	12	07	00	0	16.67	|	orig=62 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	12	14	00	0	17.22	|	orig=63 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	12	21	00	0	17.78	|	orig=64 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	13	07	00	0	16.11	|	orig=61 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	13	14	00	0	19.44	|	orig=67 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	13	21	00	0	17.22	|	orig=63 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	14	07	00	0	18.33	|	orig=65 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	14	14	00	0	20.00	|	orig=68 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	14	21	00	0	13.33	|	orig=56 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	15	07	00	0	17.22	|	orig=63 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	15	14	00	0	18.89	|	orig=66 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	15	21	00	0	17.78	|	orig=64 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	16	07	00	0	20.56	|	orig=69 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	16	14	00	0	17.78	|	orig=64 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	16	21	00	0	15.56	|	orig=60 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	17	07	00	0	17.78	|	orig=64 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	17	14	00	0	18.33	|	orig=65 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	17	21	00	0	15.56	|	orig=60 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	18	07	00	0	16.67	|	orig=62 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	18	14	00	0	17.22	|	orig=63 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	18	21	00	0	17.78	|	orig=64 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	19	07	00	0	15.56	|	orig=60 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	19	14	00	0	15.56	|	orig=60 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	19	21	00	0	17.22	|	orig=63 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	20	07	00	0	16.67	|	orig=62 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	20	14	00	0	17.78	|	orig=64 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	20	21	00	0	18.89	|	orig=66 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	21	07	00	0	18.89	|	orig=66 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	21	14	00	0	20.00	|	orig=68 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	21	21	00	0	20.56	|	orig=69 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	22	07	00	0	17.22	|	orig=63 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	22	14	00	0	18.33	|	orig=65 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	22	21	00	0	20.56	|	orig=69 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	23	07	00	0	18.89	|	orig=66 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	23	14	00	0	25.56	|	orig=78 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	23	21	00	0	20.00	|	orig=68 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	24	07	00	0	21.11	|	orig=70 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	24	14	00	0	20.00	|	orig=68 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	24	21	00	0	20.00	|	orig=68 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	25	07	00	0	21.11	|	orig=70 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	25	14	00	0	18.89	|	orig=66 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	25	21	00	0	18.89	|	orig=66 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	26	07	00	0	18.33	|	orig=65 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	26	14	00	0	18.89	|	orig=66 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	26	21	00	0	18.89	|	orig=66 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	27	07	00	0	20.00	|	orig=68 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	27	14	00	0	17.22	|	orig=63 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	27	21	00	0	20.00	|	orig=68 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	28	07	00	0	17.78	|	orig=64 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	28	14	00	0	20.00	|	orig=68 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	28	21	00	0	19.44	|	orig=67 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	29	07	00	0	18.89	|	orig=66 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	29	14	00	0	20.00	|	orig=68 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	29	21	00	0	17.78	|	orig=64 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	30	07	00	0	17.22	|	orig=63 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	30	14	00	0	18.89	|	orig=66 F|Local time: 1400|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	06	30	21	00	0	18.33	|	orig=65 F|Local time: 2100|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-06-01_OBS-L.jpg
1857	07	01	07	00	0	16.11	|	orig=61 F|Local time: 0700|QC flag: None|Image File: StJohnsNFLD-Del_USSI-201_M1958_1857-07-01_OBS-L.jpg
