SEF	1.0.0
ID	StanbridgeCanada
Name	Stanbridge
Lat	45.13
Lon	287.1
Alt	67.7
Source	ODR
Link	https://opendatarescue.org
Vbl	cl
Stat	point
Unit	cloudatlas
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1856	03	01	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	01	14	00	0	Cl0	|	orig=Empty lct|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	01	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	02	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	02	14	00	0	Cl0	|	orig=Empty lct|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	02	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	03	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	03	14	00	0	Cl0	|	orig=Empty lct|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	03	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	04	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	04	14	00	0	Cl0	|	orig=Empty lct|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	04	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	05	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	05	14	00	0	Cl0	|	orig=Empty lct|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	05	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	06	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	06	14	00	0	Cl0	|	orig=Empty lct|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	06	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	07	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	07	14	00	0	Cl2	|	orig=Cumulus lct|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	07	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	08	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	08	14	00	0	Cl0	|	orig=Empty lct|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	08	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	09	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	09	14	00	0	Cl0	|	orig=Empty lct|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	09	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	10	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	10	14	00	0	Ch6	|	orig=Cirro-cumulus lct|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	10	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	11	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	11	14	00	0	Cl0	|	orig=Empty lct|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	11	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	12	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	12	14	00	0	Cl2	|	orig=Cumulus lct|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	12	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	13	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	13	14	00	0	Cl0	|	orig=Empty lct|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	13	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	14	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	14	14	00	0	Cl0	|	orig=Empty lct|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	14	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	15	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	15	14	00	0	Cl0	|	orig=Empty lct|Local time: 1400|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	15	21	00	0	Cl0	|	orig=Empty lct|Local time: 2100|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	16	07	00	0	Cl0	|	orig=Empty lct|Local time: 0700|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
