SEF	1.0.0
ID	StanbridgeCanada
Name	Stanbridge
Lat	45.13
Lon	287.1
Alt	67.7
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	mean
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1856	03	10	00	00	24	-22.04	|	orig=-7.67 F|Local time: mean|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	11	00	00	24	-999	|	orig=Empty F|Local time: mean|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	12	00	00	24	-999	|	orig=Empty F|Local time: mean|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	13	00	00	24	-999	|	orig=Empty F|Local time: mean|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	14	00	00	24	-999	|	orig=Empty F|Local time: mean|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	15	00	00	24	-999	|	orig=Empty F|Local time: mean|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	16	00	00	24	-999	|	orig=Empty F|Local time: mean|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	17	00	00	24	-999	|	orig=Empty F|Local time: mean|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	18	00	00	24	-999	|	orig=Empty F|Local time: mean|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	19	00	00	24	-999	|	orig=Empty F|Local time: mean|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	20	00	00	24	0.94	|	orig=33.69 F|Local time: mean|QC flag: None|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	21	00	00	24	-999	|	orig=Empty F|Local time: mean|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
1856	03	22	00	00	24	-999	|	orig=Empty F|Local time: mean|QC flag: missing|Image File: Stanbridge_USSI-201_M1958_1856-03-01_OBS-F.jpg
