SEF	1.0.0
ID	SteAnneCanada
Name	SteAnne
Lat	47.4
Lon	289.92
Alt	53.3
Source	ODR
Link	https://opendatarescue.org
Vbl	atb
Stat	point
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1866	11	13	14	00	0	17.50	|	orig=63.5 F|Local time: 1400|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	13	21	00	0	15.83	|	orig=60.5 F|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	14	07	00	0	16.25	|	orig=61.25 F|Local time: 0700|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	14	14	00	0	15.83	|	orig=60.5 F|Local time: 1400|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	14	21	00	0	15.14	|	orig=59.25 F|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	15	07	00	0	15.56	|	orig=60 F|Local time: 0700|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	15	14	00	0	20.00	|	orig=68 F|Local time: 1400|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	15	21	00	0	18.33	|	orig=65 F|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	16	07	00	0	17.50	|	orig=63.5 F|Local time: 0700|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	16	14	00	0	17.50	|	orig=63.5 F|Local time: 1400|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	16	21	00	0	16.94	|	orig=62.5 F|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	17	07	00	0	17.50	|	orig=63.5 F|Local time: 0700|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	17	14	00	0	19.44	|	orig=67 F|Local time: 1400|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	17	21	00	0	18.89	|	orig=66 F|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	18	07	00	0	17.22	|	orig=63 F|Local time: 0700|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	18	14	00	0	20.00	|	orig=68 F|Local time: 1400|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	18	21	00	0	20.28	|	orig=68.5 F|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	19	07	00	0	17.78	|	orig=64 F|Local time: 0700|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	19	14	00	0	16.53	|	orig=61.75 F|Local time: 1400|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	19	21	00	0	16.11	|	orig=61 F|Local time: 2100|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	20	07	00	0	15.83	|	orig=60.5 F|Local time: 0700|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
1866	11	20	14	00	0	17.36	|	orig=63.25 F|Local time: 1400|QC flag: None|Image File: SteAnne_USSI-401_M1958_1866-11-01_OBS-Ra.jpg
