SEF	1.0.0
ID	WinnipegCanada
Name	Winnipeg
Lat	49.867
Lon	263.0
Alt	198
Source	ODR
Link	https://opendatarescue.org
Vbl	p
Stat	mean
Unit	hPa
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1869	08	01	00	00	24	976.40	|	orig=28.833 inHg|Local time: mean|QC flag: none|Image File: Winnipeg_USSI-401_M1958_1869-08-01_OBS-R.jpg
1869	08	02	00	00	24	976.77	|	orig=28.844 inHg|Local time: mean|QC flag: none|Image File: Winnipeg_USSI-401_M1958_1869-08-01_OBS-R.jpg
1869	08	03	00	00	24	977.45	|	orig=28.864 inHg|Local time: mean|QC flag: none|Image File: Winnipeg_USSI-401_M1958_1869-08-01_OBS-R.jpg
1869	08	04	00	00	24	980.19	|	orig=28.945 inHg|Local time: mean|QC flag: none|Image File: Winnipeg_USSI-401_M1958_1869-08-01_OBS-R.jpg
1869	08	05	00	00	24	983.44	|	orig=29.041 inHg|Local time: mean|QC flag: none|Image File: Winnipeg_USSI-401_M1958_1869-08-01_OBS-R.jpg
1869	08	06	00	00	24	984.73	|	orig=29.079 inHg|Local time: mean|QC flag: none|Image File: Winnipeg_USSI-401_M1958_1869-08-01_OBS-R.jpg
1869	08	07	00	00	24	980.56	|	orig=28.956 inHg|Local time: mean|QC flag: none|Image File: Winnipeg_USSI-401_M1958_1869-08-01_OBS-R.jpg
1869	08	08	00	00	24	974.20	|	orig=28.768 inHg|Local time: mean|QC flag: none|Image File: Winnipeg_USSI-401_M1958_1869-08-01_OBS-R.jpg
1869	08	09	00	00	24	975.28	|	orig=28.800 inHg|Local time: mean|QC flag: none|Image File: Winnipeg_USSI-401_M1958_1869-08-01_OBS-R.jpg
1869	08	10	00	00	24	985.51	|	orig=29.102 inHg|Local time: mean|QC flag: none|Image File: Winnipeg_USSI-401_M1958_1869-08-01_OBS-R.jpg
1869	08	11	00	00	24	988.11	|	orig=29.179 inHg|Local time: mean|QC flag: none|Image File: Winnipeg_USSI-401_M1958_1869-08-01_OBS-R.jpg
