SEF	1.0.0
ID	WolfvilleCanada
Name	Wolfville
Lat	45.08
Lon	295.65
Alt	198
Source	ODR
Link	https://opendatarescue.org
Vbl	pr
Stat	point
Unit	mm
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1855	09	01	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	02	00	00	0	20.32	|	orig=0.80 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	03	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	08	00	00	0	2.54	|	orig=0.10 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	13	00	00	0	5.08	|	orig=0.20 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	17	00	00	0	3.05	|	orig=0.12 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	18	00	00	0	6.35	|	orig=0.25 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	09	28	00	00	0	20.32	|	orig=0.8 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-09-01_OBS-F.jpg
1855	10	04	00	00	0	2.03	|	orig=0.08 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	05	00	00	0	12.70	|	orig=0.50 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	07	00	00	0	2.54	|	orig=0.10 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	10	00	00	0	5.08	|	orig=0.20 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	13	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Wolfville_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	14	00	00	0	35.56	|	orig=1.40 in|Local time: 0000|QC flag: high value|Image File: Wolfville_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	16	00	00	0	0.38	|	orig=0.015 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	21	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Wolfville_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	22	00	00	0	15.24	|	orig=0.60 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	23	00	00	0	6.35	|	orig=0.25 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	24	00	00	0	6.35	|	orig=0.25 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	25	00	00	0	10.16	|	orig=0.40 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	27	00	00	0	2.54	|	orig=.10 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	10	30	00	00	0	2.54	|	orig=0.10 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-10-01_OBS-F.jpg
1855	11	01	00	00	0	0.00	|	orig=Empty in|Local time: 0000|QC flag: empty|Image File: Wolfville_USSI-101_M1958_1855-11-01_OBS-F.jpg
1855	11	02	00	00	0	27.94	|	orig=1.10 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-11-01_OBS-F.jpg
1855	11	08	00	00	0	2.54	|	orig=0.10 in|Local time: 0000|QC flag: None|Image File: Wolfville_USSI-101_M1958_1855-11-01_OBS-F.jpg
