SEF	1.0.0
ID	YorkFactory-HBCanada
Name	YorkFactoryHB
Lat	57.03
Lon	267.5
Alt	16.75
Source	ODR
Link	https://opendatarescue.org
Vbl	ta
Stat	point
Unit	C
Meta		UTCOffset=NO
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1773	01	01	09	00	0	-21.11	|	orig=-6 F|Local time: 0900|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	01	15	00	0	-17.78	|	orig=0 F|Local time: 1500|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	02	09	00	0	-21.67	|	orig=-7 F|Local time: 0900|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	02	15	00	0	-18.89	|	orig=-2 F|Local time: 1500|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	03	09	00	0	-23.89	|	orig=-11 F|Local time: 0900|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	03	15	00	0	-27.22	|	orig=-17 F|Local time: 1500|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	04	09	00	0	-32.78	|	orig=-27 F|Local time: 0900|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	04	15	00	0	-31.11	|	orig=-24 F|Local time: 1500|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	05	09	00	0	-38.33	|	orig=-37 F|Local time: 0900|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	05	15	00	0	-33.89	|	orig=-29 F|Local time: 1500|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	06	09	00	0	-25.00	|	orig=-13 F|Local time: 0900|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	06	15	00	0	-21.67	|	orig=-7 F|Local time: 1500|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	07	09	00	0	-27.78	|	orig=-18 F|Local time: 0900|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	07	15	00	0	-24.72	|	orig=-12.5 F|Local time: 1500|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	08	09	00	0	-37.22	|	orig=-35 F|Local time: 0900|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	08	15	00	0	-35.56	|	orig=-32 F|Local time: 1500|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	09	09	00	0	-36.67	|	orig=-34 F|Local time: 0900|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	09	15	00	0	-33.89	|	orig=-29 F|Local time: 1500|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	10	09	00	0	-33.89	|	orig=-29 F|Local time: 0900|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	10	15	00	0	-32.78	|	orig=-27 F|Local time: 1500|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	11	09	00	0	-40.83	|	orig=-41.5 F|Local time: 0900|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	11	15	00	0	-38.89	|	orig=-38 F|Local time: 1500|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	12	09	00	0	-41.67	|	orig=-43 F|Local time: 0900|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	12	15	00	0	-39.44	|	orig=-39 F|Local time: 1500|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
1773	01	13	09	00	0	-40.00	|	orig=-40 F|Local time: 0900|QC flag: None|Image File: YorkFactory-HB_CUS-110_UKMO_1773-01-01_OBS-F.png
