"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"FortPeelRiver","67.43","-135",NA,"America/Inuvik","7","71052","2201601"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"hd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","cv","dd","hd","pr","ptb","pte","sd","ta","w"
1863-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-01 07:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA
1863-02-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,-45.56,NA
1863-02-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1
1863-02-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-01 14:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA
1863-02-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,-42.78,NA
1863-02-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1
1863-02-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-01 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA
1863-02-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,-40,NA
1863-02-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1
1863-02-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-02 07:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA
1863-02-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,-42.78,NA
1863-02-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1
1863-02-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-02 14:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA
1863-02-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,-41.67,NA
1863-02-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1
